β	Permutation_Entropy	Pattern_Probabilities
2.24	0.9497944662764951	0.09045226130653267,0.0914572864321608,0.1306532663316583,0.036180904522613064,0.12763819095477386,0.06331658291457286,0.03819095477386935,0.033165829145728645,0.0914572864321608,0.07537688442211055,0.06030150753768844,0.035175879396984924,0.03919597989949749,0.031155778894472363,0.032160804020100506,0.024120603015075376
2.24	0.9530148369696998	0.10050251256281408,0.09346733668341708,0.12964824120603016,0.035175879396984924,0.11557788944723618,0.062311557788944726,0.04020100502512563,0.033165829145728645,0.09246231155778895,0.07236180904522613,0.04824120603015075,0.03819095477386935,0.04924623115577889,0.024120603015075376,0.033165829145728645,0.032160804020100506
2.24	0.934491512030229	0.10150753768844221,0.0914572864321608,0.13768844221105528,0.033165829145728645,0.1306532663316583,0.07135678391959799,0.0371859296482412,0.02512562814070352,0.0914572864321608,0.07839195979899498,0.06532663316582915,0.02914572864321608,0.03919597989949749,0.023115577889447236,0.02512562814070352,0.020100502512562814
2.24	0.9129204946070983	0.09748743718592964,0.09849246231155778,0.1507537688442211,0.031155778894472363,0.14974874371859295,0.061306532663316586,0.035175879396984924,0.020100502512562814,0.09849246231155778,0.08341708542713568,0.06030150753768844,0.024120603015075376,0.032160804020100506,0.023115577889447236,0.020100502512562814,0.01407035175879397
2.24	0.9509208086748878	0.08844221105527639,0.0964824120603015,0.12361809045226131,0.04020100502512563,0.12261306532663317,0.06733668341708543,0.027135678391959798,0.03819095477386935,0.0964824120603015,0.06733668341708543,0.06733668341708543,0.024120603015075376,0.04120603015075377,0.024120603015075376,0.03819095477386935,0.0371859296482412
2.24	0.9538352508104063	0.07336683417085427,0.08040201005025126,0.13266331658291458,0.04221105527638191,0.12864321608040202,0.062311557788944726,0.04623115577889447,0.031155778894472363,0.0814070351758794,0.09447236180904522,0.05728643216080402,0.035175879396984924,0.04723618090452261,0.03015075376884422,0.031155778894472363,0.02613065326633166
2.24	0.9225970368136839	0.10954773869346733,0.10653266331658291,0.13768844221105528,0.03015075376884422,0.135678391959799,0.06432160804020101,0.034170854271356785,0.02512562814070352,0.10653266331658291,0.062311557788944726,0.061306532663316586,0.02914572864321608,0.033165829145728645,0.02613065326633166,0.02512562814070352,0.01306532663316583
2.24	0.9385664875204488	0.09045226130653267,0.09045226130653267,0.13869346733668342,0.035175879396984924,0.13467336683417086,0.06432160804020101,0.03919597989949749,0.02814070351758794,0.09045226130653267,0.08341708542713568,0.06030150753768844,0.032160804020100506,0.03919597989949749,0.02814070351758794,0.02814070351758794,0.017085427135678392
2.24	0.9482903734209335	0.09949748743718594,0.08241206030150754,0.12964824120603016,0.03919597989949749,0.12663316582914572,0.06532663316582915,0.0371859296482412,0.02914572864321608,0.08241206030150754,0.0864321608040201,0.061306532663316586,0.027135678391959798,0.04221105527638191,0.023115577889447236,0.02814070351758794,0.04020100502512563
2.24	0.9357174712101294	0.0964824120603015,0.09346733668341708,0.13869346733668342,0.03819095477386935,0.12763819095477386,0.06532663316582915,0.044221105527638194,0.024120603015075376,0.09346733668341708,0.08341708542713568,0.053266331658291456,0.03015075376884422,0.04924623115577889,0.019095477386934675,0.024120603015075376,0.019095477386934675
2.24	0.958555459258043	0.07035175879396985,0.08944723618090453,0.12864321608040202,0.04623115577889447,0.1185929648241206,0.053266331658291456,0.053266331658291456,0.036180904522613064,0.08944723618090453,0.08442211055276382,0.04321608040201005,0.04321608040201005,0.05628140703517588,0.033165829145728645,0.036180904522613064,0.018090452261306532
2.24	0.9433335162760191	0.12562814070351758,0.09246231155778895,0.12361809045226131,0.04221105527638191,0.12361809045226131,0.05125628140703518,0.031155778894472363,0.0371859296482412,0.09246231155778895,0.07236180904522613,0.05125628140703518,0.02613065326633166,0.04221105527638191,0.02613065326633166,0.0371859296482412,0.02512562814070352
2.24	0.9313896215280734	0.09849246231155778,0.08743718592964825,0.14271356783919598,0.03819095477386935,0.14371859296482412,0.04924623115577889,0.044221105527638194,0.024120603015075376,0.08743718592964825,0.09346733668341708,0.05025125628140704,0.02914572864321608,0.03819095477386935,0.03015075376884422,0.024120603015075376,0.019095477386934675
2.24	0.9533024316596814	0.09849246231155778,0.08341708542713568,0.12663316582914572,0.035175879396984924,0.12361809045226131,0.06934673366834171,0.033165829145728645,0.035175879396984924,0.08341708542713568,0.07839195979899498,0.06532663316582915,0.034170854271356785,0.03819095477386935,0.03015075376884422,0.035175879396984924,0.03015075376884422
