μ	Permutation_Entropy	Pattern_Probabilities
1.8099995	0.6273604349316297	0.0,0.022110552763819097,0.17688442211055277,0.0,0.17587939698492464,0.22512562814070353,0.0,0.0,0.022110552763819097,0.15376884422110554,0.2241206030150754,0.0,0.0,0.0,0.0,0.0
1.8099995	0.6105747892109894	0.0,0.017085427135678392,0.15678391959798996,0.0,0.15678391959798996,0.2562814070351759,0.0,0.0,0.017085427135678392,0.13969849246231156,0.2562814070351759,0.0,0.0,0.0,0.0,0.0
1.8099995	0.6357655460339697	0.0,0.02814070351758794,0.1728643216080402,0.0,0.17386934673366833,0.22512562814070353,0.0,0.0,0.02914572864321608,0.14472361809045226,0.22613065326633167,0.0,0.0,0.0,0.0,0.0
1.8099995	0.629296167790735	0.0,0.02914572864321608,0.1577889447236181,0.0,0.1577889447236181,0.24824120603015076,0.0,0.0,0.02914572864321608,0.12864321608040202,0.2492462311557789,0.0,0.0,0.0,0.0,0.0
1.8099995	0.6245383532168982	0.0,0.021105527638190954,0.16984924623115577,0.0,0.1708542713567839,0.23316582914572864,0.0,0.0,0.022110552763819097,0.1487437185929648,0.23417085427135678,0.0,0.0,0.0,0.0,0.0
1.8099995	0.6323926585488218	0.0,0.03015075376884422,0.16180904522613065,0.0,0.16080402010050251,0.24321608040201004,0.0,0.0,0.03015075376884422,0.1306532663316583,0.24321608040201004,0.0,0.0,0.0,0.0,0.0
1.8099995	0.6179396534489684	0.0,0.018090452261306532,0.16884422110552763,0.0,0.1678391959798995,0.23919597989949748,0.0,0.0,0.018090452261306532,0.14974874371859295,0.23819095477386934,0.0,0.0,0.0,0.0,0.0
1.8099995	0.6087006321571551	0.0,0.019095477386934675,0.1487437185929648,0.0,0.14773869346733667,0.26834170854271355,0.0,0.0,0.019095477386934675,0.12964824120603016,0.26733668341708544,0.0,0.0,0.0,0.0,0.0
1.8099995	0.6042994203880145	0.0,0.019095477386934675,0.14271356783919598,0.0,0.14170854271356784,0.27738693467336684,0.0,0.0,0.019095477386934675,0.12361809045226131,0.27638190954773867,0.0,0.0,0.0,0.0,0.0
1.8099995	0.603762798923987	0.0,0.019095477386934675,0.14170854271356784,0.0,0.14170854271356784,0.27839195979899495,0.0,0.0,0.019095477386934675,0.12261306532663317,0.27738693467336684,0.0,0.0,0.0,0.0,0.0
1.8099995	0.6172040887977245	0.0,0.021105527638190954,0.15678391959798996,0.0,0.15678391959798996,0.2542713567839196,0.0,0.0,0.021105527638190954,0.135678391959799,0.2542713567839196,0.0,0.0,0.0,0.0,0.0
