β	Permutation_Entropy	Pattern_Probabilities
2.115	0.9759979501928241	0.08844221105527639,0.08944723618090453,0.10552763819095477,0.04321608040201005,0.10452261306532663,0.06030150753768844,0.04623115577889447,0.04221105527638191,0.08844221105527639,0.0592964824120603,0.0592964824120603,0.04522613065326633,0.044221105527638194,0.044221105527638194,0.04221105527638191,0.0371859296482412
2.115	0.9752309721206828	0.0914572864321608,0.09447236180904522,0.10050251256281408,0.05527638190954774,0.09849246231155778,0.04321608040201005,0.05628140703517588,0.04321608040201005,0.09447236180904522,0.061306532663316586,0.04120603015075377,0.044221105527638194,0.05728643216080402,0.04221105527638191,0.04321608040201005,0.033165829145728645
2.115	0.9685594181510104	0.10854271356783919,0.09849246231155778,0.10150753768844221,0.05226130653266332,0.09547738693467336,0.053266331658291456,0.04824120603015075,0.04020100502512563,0.09748743718592964,0.05628140703517588,0.04723618090452261,0.036180904522613064,0.05829145728643216,0.03015075376884422,0.04020100502512563,0.036180904522613064
2.115	0.9686416157513368	0.10954773869346733,0.09748743718592964,0.1035175879396985,0.04723618090452261,0.09447236180904522,0.04020100502512563,0.05226130653266332,0.04020100502512563,0.09849246231155778,0.05226130653266332,0.031155778894472363,0.04522613065326633,0.05628140703517588,0.036180904522613064,0.04020100502512563,0.05527638190954774
2.115	0.9694193177914098	0.09447236180904522,0.09045226130653267,0.10653266331658291,0.04321608040201005,0.10452261306532663,0.06733668341708543,0.053266331658291456,0.033165829145728645,0.09045226130653267,0.0592964824120603,0.06532663316582915,0.04321608040201005,0.04522613065326633,0.04120603015075377,0.033165829145728645,0.02914572864321608
2.115	0.9725781729408864	0.10954773869346733,0.09547738693467336,0.10050251256281408,0.04824120603015075,0.09346733668341708,0.04221105527638191,0.05025125628140704,0.04522613065326633,0.09547738693467336,0.053266331658291456,0.035175879396984924,0.04723618090452261,0.05527638190954774,0.04020100502512563,0.04522613065326633,0.04321608040201005
2.115	0.9745884780691105	0.0814070351758794,0.09447236180904522,0.11055276381909548,0.03819095477386935,0.09547738693467336,0.06733668341708543,0.054271356783919596,0.0371859296482412,0.09346733668341708,0.054271356783919596,0.05226130653266332,0.053266331658291456,0.053266331658291456,0.03819095477386935,0.0371859296482412,0.03919597989949749
2.115	0.9745209609353294	0.09447236180904522,0.09748743718592964,0.09547738693467336,0.061306532663316586,0.0914572864321608,0.04824120603015075,0.054271356783919596,0.04321608040201005,0.09748743718592964,0.0592964824120603,0.044221105527638194,0.0371859296482412,0.06432160804020101,0.033165829145728645,0.04321608040201005,0.035175879396984924
2.115	0.9508496857169155	0.09346733668341708,0.11256281407035176,0.1185929648241206,0.04522613065326633,0.1185929648241206,0.04723618090452261,0.0371859296482412,0.04020100502512563,0.11256281407035176,0.05226130653266332,0.04623115577889447,0.032160804020100506,0.04623115577889447,0.031155778894472363,0.04020100502512563,0.02613065326633166
2.115	0.9831969591311696	0.08341708542713568,0.09447236180904522,0.0914572864321608,0.054271356783919596,0.09045226130653267,0.05125628140703518,0.05125628140703518,0.05025125628140704,0.09447236180904522,0.05125628140703518,0.05025125628140704,0.04723618090452261,0.05527638190954774,0.04623115577889447,0.05025125628140704,0.03819095477386935
2.115	0.97307579549101	0.09045226130653267,0.09748743718592964,0.10452261306532663,0.04522613065326633,0.10251256281407035,0.05728643216080402,0.04221105527638191,0.04321608040201005,0.09748743718592964,0.05226130653266332,0.05527638190954774,0.04020100502512563,0.04723618090452261,0.03819095477386935,0.04321608040201005,0.04321608040201005
