μ	Permutation_Entropy	Pattern_Probabilities
1.8049997500000001	0.6082818024731814	0.0,0.021105527638190954,0.14371859296482412,0.0,0.14271356783919598,0.2743718592964824,0.0,0.0,0.021105527638190954,0.12261306532663317,0.2743718592964824,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6070195009672152	0.0,0.016080402010050253,0.15376884422110554,0.0,0.15376884422110554,0.2613065326633166,0.0,0.0,0.016080402010050253,0.13768844221105528,0.2613065326633166,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.60745461627127	0.0,0.018090452261306532,0.14974874371859295,0.0,0.1487437185929648,0.26733668341708544,0.0,0.0,0.018090452261306532,0.1306532663316583,0.26733668341708544,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6262017474418239	0.0,0.027135678391959798,0.15678391959798996,0.0,0.1577889447236181,0.25025125628140704,0.0,0.0,0.027135678391959798,0.12964824120603016,0.25125628140703515,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6220343595480479	0.0,0.02512562814070352,0.15477386934673368,0.0,0.15477386934673368,0.2552763819095477,0.0,0.0,0.02512562814070352,0.12964824120603016,0.2552763819095477,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6145425882000007	0.0,0.019095477386934675,0.1577889447236181,0.0,0.1577889447236181,0.2542713567839196,0.0,0.0,0.019095477386934675,0.13869346733668342,0.25326633165829143,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.607681357318596	0.0,0.020100502512562814,0.14472361809045226,0.0,0.14472361809045226,0.2733668341708543,0.0,0.0,0.020100502512562814,0.12462311557788945,0.2723618090452261,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6083828190708819	0.0,0.018090452261306532,0.14974874371859295,0.0,0.1507537688442211,0.26532663316582916,0.0,0.0,0.018090452261306532,0.13266331658291458,0.26532663316582916,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6071527334885133	0.0,0.01407035175879397,0.15979899497487438,0.0,0.16080402010050251,0.2522613065326633,0.0,0.0,0.01407035175879397,0.14673366834170853,0.2522613065326633,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6139726125156096	0.0,0.019095477386934675,0.15678391959798996,0.0,0.15678391959798996,0.2552763819095477,0.0,0.0,0.019095477386934675,0.13768844221105528,0.2552763819095477,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6093950506415385	0.0,0.017085427135678392,0.15477386934673368,0.0,0.15477386934673368,0.2592964824120603,0.0,0.0,0.017085427135678392,0.13768844221105528,0.2592964824120603,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6137981557297343	0.0,0.018090452261306532,0.15879396984924624,0.0,0.15979899497487438,0.25125628140703515,0.0,0.0,0.018090452261306532,0.14170854271356784,0.2522613065326633,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6082255172926185	0.0,0.016080402010050253,0.15577889447236182,0.0,0.15577889447236182,0.25829145728643216,0.0,0.0,0.016080402010050253,0.13969849246231156,0.25829145728643216,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6044010092986205	0.0,0.017085427135678392,0.1457286432160804,0.0,0.1457286432160804,0.2723618090452261,0.0,0.0,0.018090452261306532,0.12864321608040202,0.2723618090452261,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6072426377583345	0.0,0.018090452261306532,0.1487437185929648,0.0,0.1487437185929648,0.26733668341708544,0.0,0.0,0.018090452261306532,0.1306532663316583,0.26834170854271355,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.5991790523659632	0.0,0.01407035175879397,0.14673366834170853,0.0,0.14773869346733667,0.271356783919598,0.0,0.0,0.01407035175879397,0.13366834170854272,0.2723618090452261,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6154069787527273	0.0,0.021105527638190954,0.15376884422110554,0.0,0.15376884422110554,0.25829145728643216,0.0,0.0,0.021105527638190954,0.13266331658291458,0.2592964824120603,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6026312424753861	0.0,0.016080402010050253,0.14673366834170853,0.0,0.14673366834170853,0.271356783919598,0.0,0.0,0.016080402010050253,0.13165829145728644,0.271356783919598,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6113582550709452	0.0,0.016080402010050253,0.16080402010050251,0.0,0.16180904522613065,0.2492462311557789,0.0,0.0,0.016080402010050253,0.1457286432160804,0.25025125628140704,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6214146526832921	0.0,0.023115577889447236,0.15879396984924624,0.0,0.15879396984924624,0.25025125628140704,0.0,0.0,0.023115577889447236,0.135678391959799,0.25025125628140704,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.5870210874766773	0.0,0.012060301507537688,0.13668341708542714,0.0,0.13668341708542714,0.2894472361809045,0.0,0.0,0.012060301507537688,0.12462311557788945,0.2884422110552764,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6148511424389025	0.0,0.018090452261306532,0.16080402010050251,0.0,0.16180904522613065,0.24824120603015076,0.0,0.0,0.018090452261306532,0.14371859296482412,0.2492462311557789,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6092688831937783	0.0,0.021105527638190954,0.14472361809045226,0.0,0.14472361809045226,0.2723618090452261,0.0,0.0,0.021105527638190954,0.12361809045226131,0.2723618090452261,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6010392861483514	0.0,0.012060301507537688,0.15577889447236182,0.0,0.15678391959798996,0.2592964824120603,0.0,0.0,0.012060301507537688,0.14472361809045226,0.2592964824120603,0.0,0.0,0.0,0.0,0.0
