β	Permutation_Entropy	Pattern_Probabilities
2.115	0.9569913270689827	0.12763819095477386,0.10050251256281408,0.10452261306532663,0.04623115577889447,0.10653266331658291,0.04020100502512563,0.04221105527638191,0.044221105527638194,0.10150753768844221,0.05025125628140704,0.04221105527638191,0.03919597989949749,0.04522613065326633,0.04120603015075377,0.044221105527638194,0.024120603015075376
2.115	0.9728013781735646	0.0914572864321608,0.09748743718592964,0.1035175879396985,0.04924623115577889,0.10050251256281408,0.05125628140703518,0.03819095477386935,0.04824120603015075,0.09849246231155778,0.05527638190954774,0.04824120603015075,0.036180904522613064,0.053266331658291456,0.033165829145728645,0.04824120603015075,0.04723618090452261
2.115	0.967014208751967	0.10753768844221105,0.09346733668341708,0.10854271356783919,0.044221105527638194,0.1035175879396985,0.05728643216080402,0.04120603015075377,0.04321608040201005,0.09346733668341708,0.0592964824120603,0.05226130653266332,0.04020100502512563,0.04824120603015075,0.036180904522613064,0.04321608040201005,0.02814070351758794
2.115	0.979670518531924	0.09547738693467336,0.08743718592964825,0.10251256281407035,0.04824120603015075,0.08944723618090453,0.054271356783919596,0.05226130653266332,0.04623115577889447,0.08743718592964825,0.062311557788944726,0.04120603015075377,0.05025125628140704,0.06030150753768844,0.0371859296482412,0.04522613065326633,0.04020100502512563
2.115	0.9741851910594121	0.10954773869346733,0.09748743718592964,0.09447236180904522,0.05125628140703518,0.09045226130653267,0.04723618090452261,0.05527638190954774,0.04221105527638191,0.0964824120603015,0.04924623115577889,0.04321608040201005,0.04623115577889447,0.05527638190954774,0.04221105527638191,0.04221105527638191,0.0371859296482412
2.115	0.9732391427754623	0.10452261306532663,0.09246231155778895,0.10251256281407035,0.04623115577889447,0.10251256281407035,0.04924623115577889,0.04723618090452261,0.04120603015075377,0.09246231155778895,0.05527638190954774,0.05025125628140704,0.04221105527638191,0.04522613065326633,0.04321608040201005,0.04120603015075377,0.044221105527638194
2.115	0.9715177259252188	0.08944723618090453,0.09949748743718594,0.10954773869346733,0.04623115577889447,0.09748743718592964,0.04824120603015075,0.054271356783919596,0.03919597989949749,0.09849246231155778,0.05628140703517588,0.036180904522613064,0.04723618090452261,0.05728643216080402,0.036180904522613064,0.03919597989949749,0.04522613065326633
2.115	0.9830485283447543	0.09045226130653267,0.0914572864321608,0.08844221105527639,0.044221105527638194,0.08844221105527639,0.05025125628140704,0.03819095477386935,0.05829145728643216,0.0914572864321608,0.04120603015075377,0.05025125628140704,0.05226130653266332,0.044221105527638194,0.05226130653266332,0.05829145728643216,0.06030150753768844
2.115	0.9546403803447824	0.11457286432160804,0.10050251256281408,0.11658291457286432,0.035175879396984924,0.11055276381909548,0.05728643216080402,0.05025125628140704,0.02914572864321608,0.09949748743718594,0.05226130653266332,0.05125628140703518,0.044221105527638194,0.04120603015075377,0.03819095477386935,0.02914572864321608,0.03015075376884422
2.115	0.9744288020683021	0.0763819095477387,0.0964824120603015,0.11256281407035176,0.03919597989949749,0.0964824120603015,0.0592964824120603,0.044221105527638194,0.04321608040201005,0.0964824120603015,0.05527638190954774,0.04321608040201005,0.04824120603015075,0.05527638190954774,0.032160804020100506,0.044221105527638194,0.05728643216080402
2.115	0.9696774100240088	0.12663316582914572,0.0964824120603015,0.0914572864321608,0.04924623115577889,0.09045226130653267,0.05226130653266332,0.04623115577889447,0.04321608040201005,0.0964824120603015,0.044221105527638194,0.05125628140703518,0.04020100502512563,0.05125628140703518,0.03919597989949749,0.04321608040201005,0.03819095477386935
2.115	0.9696982096461566	0.09447236180904522,0.09849246231155778,0.10552763819095477,0.05125628140703518,0.10150753768844221,0.053266331658291456,0.044221105527638194,0.04221105527638191,0.09849246231155778,0.0592964824120603,0.04824120603015075,0.035175879396984924,0.05628140703517588,0.03015075376884422,0.04221105527638191,0.03919597989949749
2.115	0.9819931052867081	0.09949748743718594,0.08844221105527639,0.0964824120603015,0.04321608040201005,0.08341708542713568,0.05829145728643216,0.04321608040201005,0.05125628140703518,0.08844221105527639,0.05125628140703518,0.04623115577889447,0.05025125628140704,0.05628140703517588,0.03819095477386935,0.05125628140703518,0.054271356783919596
2.115	0.9584186667756608	0.10854271356783919,0.10854271356783919,0.10753768844221105,0.05025125628140704,0.10251256281407035,0.04221105527638191,0.04824120603015075,0.04020100502512563,0.10954773869346733,0.04924623115577889,0.0371859296482412,0.0371859296482412,0.05628140703517588,0.032160804020100506,0.04020100502512563,0.03015075376884422
2.115	0.9748335146706684	0.08442211055276382,0.09246231155778895,0.10552763819095477,0.04221105527638191,0.10150753768844221,0.06733668341708543,0.04522613065326633,0.04221105527638191,0.0914572864321608,0.05628140703517588,0.06331658291457286,0.04522613065326633,0.04623115577889447,0.04120603015075377,0.04221105527638191,0.033165829145728645
2.115	0.9705688349035893	0.10552763819095477,0.09447236180904522,0.09949748743718594,0.05226130653266332,0.10653266331658291,0.03919597989949749,0.04522613065326633,0.04723618090452261,0.09447236180904522,0.05728643216080402,0.04623115577889447,0.03919597989949749,0.04522613065326633,0.04723618090452261,0.04723618090452261,0.033165829145728645
2.115	0.9555235355182463	0.11658291457286432,0.10452261306532663,0.10854271356783919,0.04924623115577889,0.09949748743718594,0.054271356783919596,0.04924623115577889,0.034170854271356785,0.10552763819095477,0.053266331658291456,0.04522613065326633,0.034170854271356785,0.0592964824120603,0.02512562814070352,0.035175879396984924,0.02613065326633166
2.115	0.9799942572189319	0.1035175879396985,0.08944723618090453,0.09045226130653267,0.053266331658291456,0.08542713567839195,0.05628140703517588,0.044221105527638194,0.05527638190954774,0.08844221105527639,0.054271356783919596,0.05125628140703518,0.04623115577889447,0.05728643216080402,0.04120603015075377,0.05527638190954774,0.02814070351758794
2.115	0.9708778379835976	0.09447236180904522,0.09447236180904522,0.10251256281407035,0.04723618090452261,0.10251256281407035,0.062311557788944726,0.05628140703517588,0.032160804020100506,0.09447236180904522,0.05527638190954774,0.061306532663316586,0.04120603015075377,0.04723618090452261,0.04120603015075377,0.032160804020100506,0.035175879396984924
2.115	0.9772405118607511	0.08442211055276382,0.09748743718592964,0.10050251256281408,0.044221105527638194,0.09547738693467336,0.06030150753768844,0.04120603015075377,0.04924623115577889,0.09849246231155778,0.04723618090452261,0.05527638190954774,0.04522613065326633,0.05025125628140704,0.04020100502512563,0.04924623115577889,0.04120603015075377
2.115	0.9739336283108124	0.10954773869346733,0.0964824120603015,0.09748743718592964,0.04120603015075377,0.09246231155778895,0.05025125628140704,0.04020100502512563,0.04924623115577889,0.0964824120603015,0.04321608040201005,0.04522613065326633,0.04824120603015075,0.04723618090452261,0.04321608040201005,0.04924623115577889,0.05025125628140704
2.115	0.9420448942169227	0.13165829145728644,0.11055276381909548,0.1135678391959799,0.04723618090452261,0.11155778894472362,0.04120603015075377,0.04522613065326633,0.033165829145728645,0.11055276381909548,0.05025125628140704,0.03919597989949749,0.031155778894472363,0.04824120603015075,0.02914572864321608,0.032160804020100506,0.02512562814070352
2.115	0.978164213339949	0.09547738693467336,0.09547738693467336,0.09547738693467336,0.05226130653266332,0.09045226130653267,0.04522613065326633,0.061306532663316586,0.04221105527638191,0.09447236180904522,0.05226130653266332,0.04020100502512563,0.05125628140703518,0.05728643216080402,0.04623115577889447,0.04221105527638191,0.03819095477386935
2.115	0.9463370773640021	0.0964824120603015,0.10753768844221105,0.11959798994974874,0.053266331658291456,0.1185929648241206,0.04623115577889447,0.04221105527638191,0.0371859296482412,0.10753768844221105,0.06633165829145729,0.04522613065326633,0.02512562814070352,0.05527638190954774,0.024120603015075376,0.0371859296482412,0.018090452261306532
2.115	0.9801942389292668	0.09849246231155778,0.0864321608040201,0.09748743718592964,0.04824120603015075,0.09949748743718594,0.04321608040201005,0.04924623115577889,0.04723618090452261,0.08542713567839195,0.0592964824120603,0.04623115577889447,0.04824120603015075,0.04522613065326633,0.05125628140703518,0.04723618090452261,0.04723618090452261
2.115	0.9592232967320966	0.10854271356783919,0.10150753768844221,0.1135678391959799,0.04623115577889447,0.10753768844221105,0.04824120603015075,0.04723618090452261,0.035175879396984924,0.10150753768844221,0.05829145728643216,0.04321608040201005,0.036180904522613064,0.05226130653266332,0.031155778894472363,0.036180904522613064,0.033165829145728645
2.115	0.9775649707665081	0.09949748743718594,0.09045226130653267,0.10150753768844221,0.04120603015075377,0.0864321608040201,0.06633165829145729,0.04924623115577889,0.04120603015075377,0.0914572864321608,0.05226130653266332,0.05125628140703518,0.04924623115577889,0.05628140703517588,0.034170854271356785,0.04120603015075377,0.04824120603015075
2.115	0.9739799336144679	0.0814070351758794,0.10050251256281408,0.1035175879396985,0.04924623115577889,0.10150753768844221,0.05527638190954774,0.04522613065326633,0.044221105527638194,0.10050251256281408,0.053266331658291456,0.053266331658291456,0.04020100502512563,0.05125628140703518,0.03819095477386935,0.044221105527638194,0.03819095477386935
2.115	0.9776208665485377	0.08442211055276382,0.09748743718592964,0.09246231155778895,0.05728643216080402,0.09346733668341708,0.061306532663316586,0.044221105527638194,0.04723618090452261,0.09748743718592964,0.05125628140703518,0.062311557788944726,0.034170854271356785,0.05628140703517588,0.035175879396984924,0.04723618090452261,0.03819095477386935
2.115	0.9501371745191796	0.12864321608040202,0.11155778894472362,0.10753768844221105,0.04522613065326633,0.10150753768844221,0.04221105527638191,0.04321608040201005,0.0371859296482412,0.11256281407035176,0.04120603015075377,0.036180904522613064,0.035175879396984924,0.05125628140703518,0.02914572864321608,0.0371859296482412,0.04020100502512563
2.115	0.9726044268324316	0.10552763819095477,0.09748743718592964,0.09447236180904522,0.05628140703517588,0.09748743718592964,0.04723618090452261,0.04824120603015075,0.04221105527638191,0.09748743718592964,0.053266331658291456,0.05025125628140704,0.033165829145728645,0.053266331658291456,0.0371859296482412,0.04221105527638191,0.044221105527638194
