μ	Permutation_Entropy	Pattern_Probabilities
1.8049997500000001	0.6089853952173485	0.0,0.016080402010050253,0.15678391959798996,0.0,0.1577889447236181,0.2562814070351759,0.0,0.0,0.016080402010050253,0.1407035175879397,0.2562814070351759,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6196488952544557	0.0,0.020100502512562814,0.16381909547738693,0.0,0.16482412060301507,0.24321608040201004,0.0,0.0,0.020100502512562814,0.14472361809045226,0.24321608040201004,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6176494850909512	0.0,0.020100502512562814,0.16080402010050251,0.0,0.15979899497487438,0.2492462311557789,0.0,0.0,0.020100502512562814,0.1407035175879397,0.2492462311557789,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6072426377583345	0.0,0.018090452261306532,0.1487437185929648,0.0,0.1487437185929648,0.26733668341708544,0.0,0.0,0.018090452261306532,0.1306532663316583,0.26834170854271355,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6112266829120037	0.0,0.020100502512562814,0.14974874371859295,0.0,0.14974874371859295,0.26532663316582916,0.0,0.0,0.020100502512562814,0.12964824120603016,0.26532663316582916,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.593590739962956	0.0,0.01507537688442211,0.13768844221105528,0.0,0.13768844221105528,0.28542713567839195,0.0,0.0,0.01507537688442211,0.12261306532663317,0.2864321608040201,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6087006321571551	0.0,0.019095477386934675,0.1487437185929648,0.0,0.14773869346733667,0.26834170854271355,0.0,0.0,0.019095477386934675,0.12964824120603016,0.26733668341708544,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.611516715853491	0.0,0.016080402010050253,0.16180904522613065,0.0,0.16180904522613065,0.2492462311557789,0.0,0.0,0.016080402010050253,0.1457286432160804,0.2492462311557789,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6022194649526414	0.0,0.011055276381909548,0.1628140703517588,0.0,0.16180904522613065,0.25125628140703515,0.0,0.0,0.011055276381909548,0.15175879396984926,0.25025125628140704,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6150235939757458	0.0,0.020100502512562814,0.15577889447236182,0.0,0.15577889447236182,0.2562814070351759,0.0,0.0,0.020100502512562814,0.135678391959799,0.2562814070351759,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6032959271422553	0.0,0.01507537688442211,0.1507537688442211,0.0,0.1507537688442211,0.2663316582914573,0.0,0.0,0.01507537688442211,0.135678391959799,0.2663316582914573,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.5990940394969141	0.0,0.01306532663316583,0.14974874371859295,0.0,0.14974874371859295,0.26834170854271355,0.0,0.0,0.01306532663316583,0.13768844221105528,0.26834170854271355,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6147807914038336	0.0,0.021105527638190954,0.1527638190954774,0.0,0.1527638190954774,0.26030150753768844,0.0,0.0,0.021105527638190954,0.13165829145728644,0.26030150753768844,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6006417065378368	0.0,0.012060301507537688,0.15577889447236182,0.0,0.15577889447236182,0.26030150753768844,0.0,0.0,0.012060301507537688,0.14371859296482412,0.26030150753768844,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6082849169860445	0.0,0.01507537688442211,0.15979899497487438,0.0,0.15879396984924624,0.2542713567839196,0.0,0.0,0.01507537688442211,0.14371859296482412,0.25326633165829143,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6098019805288426	0.0,0.019095477386934675,0.1507537688442211,0.0,0.14974874371859295,0.26532663316582916,0.0,0.0,0.019095477386934675,0.1306532663316583,0.26532663316582916,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.5909253824993086	0.0,0.017085427135678392,0.1306532663316583,0.0,0.1306532663316583,0.29547738693467335,0.0,0.0,0.017085427135678392,0.1135678391959799,0.29547738693467335,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6043855248076245	0.0,0.018090452261306532,0.14472361809045226,0.0,0.14472361809045226,0.2733668341708543,0.0,0.0,0.018090452261306532,0.12663316582914572,0.2743718592964824,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6167357370331267	0.0,0.020100502512562814,0.15879396984924624,0.0,0.15879396984924624,0.25125628140703515,0.0,0.0,0.020100502512562814,0.13869346733668342,0.2522613065326633,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6026316888850859	0.0,0.01507537688442211,0.14974874371859295,0.0,0.14974874371859295,0.26733668341708544,0.0,0.0,0.01507537688442211,0.13467336683417086,0.26834170854271355,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6089746504072043	0.0,0.017085427135678392,0.15477386934673368,0.0,0.15376884422110554,0.26030150753768844,0.0,0.0,0.017085427135678392,0.13668341708542714,0.26030150753768844,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.5948252266281248	0.0,0.01306532663316583,0.14472361809045226,0.0,0.14371859296482412,0.27738693467336684,0.0,0.0,0.01306532663316583,0.1306532663316583,0.27738693467336684,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6219418744377239	0.0,0.024120603015075376,0.1577889447236181,0.0,0.15678391959798996,0.2522613065326633,0.0,0.0,0.024120603015075376,0.13266331658291458,0.2522613065326633,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6083306843746683	0.0,0.01407035175879397,0.1628140703517588,0.0,0.1628140703517588,0.24824120603015076,0.0,0.0,0.01407035175879397,0.1487437185929648,0.2492462311557789,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.5986368238755851	0.0,0.01306532663316583,0.14974874371859295,0.0,0.1487437185929648,0.2693467336683417,0.0,0.0,0.01306532663316583,0.13668341708542714,0.2693467336683417,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6189702841610429	0.0,0.017085427135678392,0.1748743718592965,0.0,0.17587939698492464,0.22814070351758794,0.0,0.0,0.017085427135678392,0.15879396984924624,0.22814070351758794,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6143365437053118	0.0,0.021105527638190954,0.15175879396984926,0.0,0.1527638190954774,0.2613065326633166,0.0,0.0,0.021105527638190954,0.1306532663316583,0.2613065326633166,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6016477925024475	0.0,0.016080402010050253,0.1457286432160804,0.0,0.1457286432160804,0.2733668341708543,0.0,0.0,0.016080402010050253,0.12964824120603016,0.2733668341708543,0.0,0.0,0.0,0.0,0.0
1.8049997500000001	0.6209664122411064	0.0,0.022110552763819097,0.16080402010050251,0.0,0.16080402010050251,0.24824120603015076,0.0,0.0,0.022110552763819097,0.13869346733668342,0.24723618090452262,0.0,0.0,0.0,0.0,0.0
