β	Permutation_Entropy	Pattern_Probabilities
2.115	0.9710337607182162	0.10854271356783919,0.09748743718592964,0.0964824120603015,0.05728643216080402,0.09748743718592964,0.04020100502512563,0.04723618090452261,0.04623115577889447,0.09748743718592964,0.05527638190954774,0.04120603015075377,0.0371859296482412,0.05527638190954774,0.03819095477386935,0.04623115577889447,0.03819095477386935
2.115	0.980287429046484	0.08542713567839195,0.09045226130653267,0.09949748743718594,0.05226130653266332,0.09949748743718594,0.044221105527638194,0.04824120603015075,0.05025125628140704,0.08944723618090453,0.062311557788944726,0.044221105527638194,0.04623115577889447,0.05226130653266332,0.04623115577889447,0.05025125628140704,0.03919597989949749
2.115	0.9844949435330906	0.08944723618090453,0.08442211055276382,0.09246231155778895,0.05527638190954774,0.0864321608040201,0.061306532663316586,0.05829145728643216,0.04221105527638191,0.08442211055276382,0.062311557788944726,0.05628140703517588,0.04522613065326633,0.06030150753768844,0.04020100502512563,0.04221105527638191,0.03919597989949749
2.115	0.9698227160913603	0.0814070351758794,0.1035175879396985,0.10452261306532663,0.04723618090452261,0.10954773869346733,0.05025125628140704,0.04522613065326633,0.04321608040201005,0.1035175879396985,0.04924623115577889,0.05527638190954774,0.04120603015075377,0.04221105527638191,0.04623115577889447,0.04321608040201005,0.034170854271356785
2.115	0.9876409363082362	0.07939698492462312,0.08442211055276382,0.0914572864321608,0.05125628140703518,0.09246231155778895,0.05628140703517588,0.04723618090452261,0.053266331658291456,0.08442211055276382,0.05728643216080402,0.05728643216080402,0.04924623115577889,0.05025125628140704,0.05025125628140704,0.053266331658291456,0.04221105527638191
2.115	0.9703603857702124	0.0814070351758794,0.09949748743718594,0.10753768844221105,0.05527638190954774,0.10653266331658291,0.04221105527638191,0.05125628140703518,0.04221105527638191,0.09949748743718594,0.06331658291457286,0.04221105527638191,0.03819095477386935,0.05527638190954774,0.03819095477386935,0.04221105527638191,0.035175879396984924
2.115	0.9696488909362738	0.11658291457286432,0.0864321608040201,0.10150753768844221,0.053266331658291456,0.1035175879396985,0.04522613065326633,0.05025125628140704,0.04020100502512563,0.0864321608040201,0.06834170854271357,0.04723618090452261,0.0371859296482412,0.05025125628140704,0.03919597989949749,0.03919597989949749,0.035175879396984924
2.115	0.9777726891888873	0.0814070351758794,0.0914572864321608,0.09447236180904522,0.04321608040201005,0.0864321608040201,0.08542713567839195,0.04120603015075377,0.04522613065326633,0.0914572864321608,0.04623115577889447,0.07738693467336684,0.04321608040201005,0.05125628140703518,0.035175879396984924,0.04522613065326633,0.04120603015075377
2.115	0.9589663619709341	0.10150753768844221,0.10954773869346733,0.10854271356783919,0.04623115577889447,0.10653266331658291,0.04824120603015075,0.05125628140703518,0.0371859296482412,0.10854271356783919,0.04522613065326633,0.04623115577889447,0.04221105527638191,0.04824120603015075,0.04020100502512563,0.0371859296482412,0.023115577889447236
2.115	0.9636457858288886	0.12060301507537688,0.10452261306532663,0.0964824120603015,0.05025125628140704,0.09346733668341708,0.053266331658291456,0.04020100502512563,0.044221105527638194,0.10452261306532663,0.04221105527638191,0.05025125628140704,0.034170854271356785,0.053266331658291456,0.031155778894472363,0.044221105527638194,0.0371859296482412
2.115	0.9593258786669276	0.0914572864321608,0.1035175879396985,0.12060301507537688,0.0371859296482412,0.10452261306532663,0.061306532663316586,0.04924623115577889,0.0371859296482412,0.1035175879396985,0.053266331658291456,0.04522613065326633,0.04924623115577889,0.05226130653266332,0.033165829145728645,0.036180904522613064,0.022110552763819097
2.115	0.974148862150462	0.08743718592964825,0.09748743718592964,0.09949748743718594,0.053266331658291456,0.10251256281407035,0.054271356783919596,0.04221105527638191,0.04623115577889447,0.09748743718592964,0.05527638190954774,0.05728643216080402,0.036180904522613064,0.05025125628140704,0.03919597989949749,0.04723618090452261,0.034170854271356785
2.115	0.974356493423493	0.11557788944723618,0.08542713567839195,0.10050251256281408,0.04522613065326633,0.0864321608040201,0.06432160804020101,0.04723618090452261,0.044221105527638194,0.08542713567839195,0.06030150753768844,0.05025125628140704,0.04623115577889447,0.0592964824120603,0.031155778894472363,0.044221105527638194,0.034170854271356785
2.115	0.9603670891079202	0.12060301507537688,0.09949748743718594,0.1035175879396985,0.04824120603015075,0.10653266331658291,0.03919597989949749,0.05025125628140704,0.04020100502512563,0.10050251256281408,0.05226130653266332,0.04120603015075377,0.04221105527638191,0.04623115577889447,0.044221105527638194,0.04020100502512563,0.02512562814070352
2.115	0.9800115798594727	0.10050251256281408,0.08844221105527639,0.09748743718592964,0.036180904522613064,0.08341708542713568,0.06733668341708543,0.04020100502512563,0.05025125628140704,0.08844221105527639,0.04522613065326633,0.053266331658291456,0.054271356783919596,0.05025125628140704,0.03919597989949749,0.04924623115577889,0.05628140703517588
2.115	0.9726990292023737	0.08844221105527639,0.10150753768844221,0.10653266331658291,0.04221105527638191,0.09849246231155778,0.05125628140703518,0.04824120603015075,0.044221105527638194,0.10150753768844221,0.04723618090452261,0.04221105527638191,0.05025125628140704,0.05125628140703518,0.04120603015075377,0.044221105527638194,0.04120603015075377
2.115	0.978181390894779	0.08743718592964825,0.09246231155778895,0.09949748743718594,0.053266331658291456,0.09949748743718594,0.05226130653266332,0.05025125628140704,0.044221105527638194,0.09246231155778895,0.06030150753768844,0.05226130653266332,0.04120603015075377,0.053266331658291456,0.04020100502512563,0.04321608040201005,0.03819095477386935
2.115	0.9767035172522305	0.10050251256281408,0.08944723618090453,0.10050251256281408,0.04623115577889447,0.0864321608040201,0.06733668341708543,0.053266331658291456,0.04020100502512563,0.08944723618090453,0.05728643216080402,0.053266331658291456,0.04723618090452261,0.06030150753768844,0.033165829145728645,0.04020100502512563,0.035175879396984924
2.115	0.9320265682465246	0.14371859296482412,0.11256281407035176,0.1185929648241206,0.04221105527638191,0.11256281407035176,0.035175879396984924,0.04221105527638191,0.035175879396984924,0.11256281407035176,0.04824120603015075,0.03015075376884422,0.035175879396984924,0.04824120603015075,0.02914572864321608,0.035175879396984924,0.019095477386934675
2.115	0.9652660543450118	0.11557788944723618,0.10753768844221105,0.09346733668341708,0.04623115577889447,0.08944723618090453,0.04321608040201005,0.036180904522613064,0.05125628140703518,0.10753768844221105,0.032160804020100506,0.03919597989949749,0.04120603015075377,0.05025125628140704,0.0371859296482412,0.05125628140703518,0.05829145728643216
2.115	0.9743860082446435	0.08844221105527639,0.10150753768844221,0.0964824120603015,0.05728643216080402,0.09547738693467336,0.04321608040201005,0.054271356783919596,0.04120603015075377,0.10251256281407035,0.05226130653266332,0.04221105527638191,0.03819095477386935,0.05829145728643216,0.0371859296482412,0.04120603015075377,0.05025125628140704
2.115	0.9647503294094885	0.12864321608040202,0.09447236180904522,0.1035175879396985,0.04120603015075377,0.09447236180904522,0.053266331658291456,0.04120603015075377,0.04522613065326633,0.09547738693467336,0.04924623115577889,0.044221105527638194,0.04522613065326633,0.05025125628140704,0.036180904522613064,0.04522613065326633,0.032160804020100506
2.115	0.9619274750754793	0.10552763819095477,0.09949748743718594,0.11155778894472362,0.04221105527638191,0.10854271356783919,0.05829145728643216,0.04221105527638191,0.036180904522613064,0.09949748743718594,0.053266331658291456,0.05527638190954774,0.036180904522613064,0.04522613065326633,0.033165829145728645,0.036180904522613064,0.0371859296482412
2.115	0.9784167487399865	0.09748743718592964,0.09346733668341708,0.0964824120603015,0.04221105527638191,0.0914572864321608,0.054271356783919596,0.05527638190954774,0.04321608040201005,0.09447236180904522,0.04522613065326633,0.04924623115577889,0.05628140703517588,0.04723618090452261,0.05125628140703518,0.04321608040201005,0.03919597989949749
2.115	0.9717906879647252	0.11457286432160804,0.09346733668341708,0.0964824120603015,0.05527638190954774,0.0914572864321608,0.04824120603015075,0.04522613065326633,0.04623115577889447,0.09346733668341708,0.05829145728643216,0.04321608040201005,0.036180904522613064,0.06030150753768844,0.031155778894472363,0.04623115577889447,0.04020100502512563
