ρ	Permutation_Entropy	Pattern_Probabilities
28.49	0.9605554588337993	0.016080402010050253,0.05728643216080402,0.06733668341708543,0.09246231155778895,0.06532663316582915,0.036180904522613064,0.10452261306532663,0.06030150753768844,0.05728643216080402,0.10251256281407035,0.033165829145728645,0.07236180904522613,0.09447236180904522,0.06934673366834171,0.06030150753768844,0.011055276381909548
28.49	0.9507806586678273	0.01507537688442211,0.07236180904522613,0.07939698492462312,0.0914572864321608,0.07236180904522613,0.024120603015075376,0.09045226130653267,0.06733668341708543,0.07236180904522613,0.09849246231155778,0.017085427135678392,0.06633165829145729,0.09849246231155778,0.0592964824120603,0.06733668341708543,0.008040201005025126
28.49	0.9550170467240974	0.007035175879396985,0.06030150753768844,0.07336683417085427,0.09045226130653267,0.07035175879396985,0.02914572864321608,0.09246231155778895,0.06934673366834171,0.06030150753768844,0.1035175879396985,0.02613065326633166,0.07236180904522613,0.09246231155778895,0.06934673366834171,0.06934673366834171,0.01407035175879397
28.49	0.9494594301536351	0.012060301507537688,0.06331658291457286,0.06532663316582915,0.0964824120603015,0.062311557788944726,0.023115577889447236,0.10954773869346733,0.062311557788944726,0.06331658291457286,0.09849246231155778,0.020100502512562814,0.07537688442211055,0.10050251256281408,0.07236180904522613,0.06331658291457286,0.012060301507537688
28.49	0.9532507442432282	0.011055276381909548,0.05527638190954774,0.07839195979899498,0.0914572864321608,0.07336683417085427,0.035175879396984924,0.1035175879396985,0.05628140703517588,0.05527638190954774,0.11457286432160804,0.031155778894472363,0.06834170854271357,0.09547738693467336,0.06432160804020101,0.05628140703517588,0.010050251256281407
28.49	0.9514741962463283	0.01407035175879397,0.06834170854271357,0.06934673366834171,0.09547738693467336,0.07135678391959799,0.024120603015075376,0.1035175879396985,0.061306532663316586,0.06834170854271357,0.0964824120603015,0.02613065326633166,0.06934673366834171,0.09346733668341708,0.07135678391959799,0.061306532663316586,0.006030150753768844
28.49	0.953335814619241	0.011055276381909548,0.06633165829145729,0.0763819095477387,0.08241206030150754,0.06834170854271357,0.032160804020100506,0.10150753768844221,0.06331658291457286,0.06633165829145729,0.0914572864321608,0.024120603015075376,0.08241206030150754,0.09045226130653267,0.0743718592964824,0.06331658291457286,0.006030150753768844
28.49	0.9493130022838552	0.016080402010050253,0.06331658291457286,0.07336683417085427,0.0914572864321608,0.0763819095477387,0.024120603015075376,0.1135678391959799,0.05226130653266332,0.06331658291457286,0.10150753768844221,0.02613065326633166,0.0743718592964824,0.08944723618090453,0.0763819095477387,0.05226130653266332,0.006030150753768844
28.49	0.9506868739814367	0.008040201005025126,0.07336683417085427,0.062311557788944726,0.1035175879396985,0.06532663316582915,0.022110552763819097,0.09949748743718594,0.06733668341708543,0.07336683417085427,0.0914572864321608,0.02512562814070352,0.06331658291457286,0.09949748743718594,0.06633165829145729,0.06633165829145729,0.01306532663316583
28.49	0.9554670572923346	0.009045226130653266,0.06733668341708543,0.07738693467336684,0.09447236180904522,0.08040201005025126,0.02613065326633166,0.08743718592964825,0.06633165829145729,0.06733668341708543,0.10452261306532663,0.02914572864321608,0.05829145728643216,0.0914572864321608,0.061306532663316586,0.06633165829145729,0.01306532663316583
28.49	0.9677561109930098	0.01507537688442211,0.06432160804020101,0.0763819095477387,0.08844221105527639,0.07839195979899498,0.034170854271356785,0.09045226130653267,0.06030150753768844,0.06432160804020101,0.10050251256281408,0.035175879396984924,0.062311557788944726,0.08743718592964825,0.06331658291457286,0.06030150753768844,0.019095477386934675
28.49	0.9462842674216312	0.009045226130653266,0.06030150753768844,0.06331658291457286,0.10452261306532663,0.06432160804020101,0.02512562814070352,0.11155778894472362,0.0592964824120603,0.06030150753768844,0.10854271356783919,0.02512562814070352,0.06633165829145729,0.10452261306532663,0.06633165829145729,0.0592964824120603,0.012060301507537688
28.49	0.947059041441027	0.010050251256281407,0.06934673366834171,0.07135678391959799,0.09447236180904522,0.06934673366834171,0.019095477386934675,0.09748743718592964,0.06934673366834171,0.06934673366834171,0.0964824120603015,0.017085427135678392,0.07135678391959799,0.0964824120603015,0.06934673366834171,0.06934673366834171,0.010050251256281407
28.49	0.9531529937344525	0.006030150753768844,0.06432160804020101,0.0814070351758794,0.08844221105527639,0.07839195979899498,0.027135678391959798,0.08442211055276382,0.07035175879396985,0.06432160804020101,0.10552763819095477,0.024120603015075376,0.06633165829145729,0.0914572864321608,0.06331658291457286,0.07035175879396985,0.01407035175879397
28.49	0.9588904578619915	0.012060301507537688,0.06030150753768844,0.06733668341708543,0.08944723618090453,0.07135678391959799,0.027135678391959798,0.10251256281407035,0.06331658291457286,0.061306532663316586,0.0964824120603015,0.031155778894472363,0.07537688442211055,0.0864321608040201,0.07939698492462312,0.06331658291457286,0.01306532663316583
