ρ	Permutation_Entropy	Pattern_Probabilities
28.49	0.9475321048490029	0.010050251256281407,0.062311557788944726,0.06934673366834171,0.09547738693467336,0.06834170854271357,0.022110552763819097,0.10854271356783919,0.061306532663316586,0.062311557788944726,0.1035175879396985,0.021105527638190954,0.07336683417085427,0.09748743718592964,0.07236180904522613,0.061306532663316586,0.011055276381909548
28.49	0.9509272899877755	0.01306532663316583,0.06934673366834171,0.07537688442211055,0.09949748743718594,0.07135678391959799,0.02613065326633166,0.0914572864321608,0.06532663316582915,0.06934673366834171,0.10552763819095477,0.022110552763819097,0.05829145728643216,0.1035175879396985,0.054271356783919596,0.06532663316582915,0.010050251256281407
28.49	0.9484325559107974	0.01407035175879397,0.05527638190954774,0.08241206030150754,0.09346733668341708,0.07236180904522613,0.02814070351758794,0.09748743718592964,0.062311557788944726,0.05527638190954774,0.12060301507537688,0.019095477386934675,0.06532663316582915,0.1035175879396985,0.05628140703517588,0.062311557788944726,0.012060301507537688
28.49	0.9552131686952875	0.012060301507537688,0.06733668341708543,0.06633165829145729,0.09246231155778895,0.06331658291457286,0.02814070351758794,0.09547738693467336,0.07135678391959799,0.06733668341708543,0.0914572864321608,0.024120603015075376,0.0743718592964824,0.09547738693467336,0.07035175879396985,0.07135678391959799,0.009045226130653266
28.49	0.9520495895403333	0.018090452261306532,0.05527638190954774,0.06633165829145729,0.09346733668341708,0.06432160804020101,0.032160804020100506,0.11557788944723618,0.05527638190954774,0.054271356783919596,0.10552763819095477,0.03015075376884422,0.07738693467336684,0.09547738693467336,0.07537688442211055,0.05527638190954774,0.006030150753768844
28.49	0.9627962769678466	0.012060301507537688,0.05728643216080402,0.07135678391959799,0.09447236180904522,0.07537688442211055,0.02814070351758794,0.08844221105527639,0.06834170854271357,0.05728643216080402,0.10753768844221105,0.032160804020100506,0.062311557788944726,0.08944723618090453,0.06633165829145729,0.06834170854271357,0.021105527638190954
28.49	0.9679203799825753	0.021105527638190954,0.061306532663316586,0.06834170854271357,0.08341708542713568,0.06934673366834171,0.032160804020100506,0.10251256281407035,0.06030150753768844,0.061306532663316586,0.09045226130653267,0.033165829145728645,0.07839195979899498,0.08241206030150754,0.08040201005025126,0.06030150753768844,0.01507537688442211
28.49	0.9671639606167255	0.01407035175879397,0.05829145728643216,0.07537688442211055,0.08241206030150754,0.07939698492462312,0.033165829145728645,0.09547738693467336,0.06030150753768844,0.05829145728643216,0.09849246231155778,0.0371859296482412,0.07336683417085427,0.07738693467336684,0.07839195979899498,0.06030150753768844,0.018090452261306532
28.49	0.9568206952866063	0.006030150753768844,0.05829145728643216,0.07236180904522613,0.09045226130653267,0.0743718592964824,0.033165829145728645,0.09748743718592964,0.06331658291457286,0.05829145728643216,0.1035175879396985,0.035175879396984924,0.07035175879396985,0.08743718592964825,0.07336683417085427,0.06331658291457286,0.01306532663316583
28.49	0.956173972325807	0.012060301507537688,0.0592964824120603,0.06834170854271357,0.09045226130653267,0.06934673366834171,0.02914572864321608,0.10452261306532663,0.062311557788944726,0.0592964824120603,0.09949748743718594,0.03015075376884422,0.0763819095477387,0.08844221105527639,0.07839195979899498,0.062311557788944726,0.010050251256281407
28.49	0.9643454119337508	0.019095477386934675,0.07236180904522613,0.06432160804020101,0.09246231155778895,0.06733668341708543,0.033165829145728645,0.0964824120603015,0.06331658291457286,0.07135678391959799,0.08542713567839195,0.036180904522613064,0.06733668341708543,0.08944723618090453,0.07035175879396985,0.06331658291457286,0.008040201005025126
28.49	0.9567651492618544	0.011055276381909548,0.05829145728643216,0.07939698492462312,0.0864321608040201,0.07336683417085427,0.036180904522613064,0.09246231155778895,0.06432160804020101,0.05829145728643216,0.10854271356783919,0.03015075376884422,0.07035175879396985,0.09346733668341708,0.06432160804020101,0.06432160804020101,0.009045226130653266
28.49	0.9368005827677248	0.009045226130653266,0.07537688442211055,0.08040201005025126,0.10251256281407035,0.08442211055276382,0.010050251256281407,0.08241206030150754,0.07135678391959799,0.07537688442211055,0.10653266331658291,0.01407035175879397,0.05226130653266332,0.09748743718592964,0.05628140703517588,0.07135678391959799,0.011055276381909548
