ρ	Permutation_Entropy	Pattern_Probabilities
28.49	0.959062104320657	0.01306532663316583,0.05527638190954774,0.06834170854271357,0.0914572864321608,0.07236180904522613,0.035175879396984924,0.11155778894472362,0.05226130653266332,0.05527638190954774,0.10452261306532663,0.03919597989949749,0.07236180904522613,0.08743718592964825,0.0763819095477387,0.05226130653266332,0.01306532663316583
28.49	0.9382141971968762	0.010050251256281407,0.06834170854271357,0.0814070351758794,0.09447236180904522,0.07839195979899498,0.018090452261306532,0.09748743718592964,0.06432160804020101,0.06834170854271357,0.10653266331658291,0.01507537688442211,0.06733668341708543,0.09748743718592964,0.06432160804020101,0.06432160804020101,0.004020100502512563
28.49	0.9497895663548748	0.009045226130653266,0.062311557788944726,0.06934673366834171,0.10050251256281408,0.07035175879396985,0.027135678391959798,0.10653266331658291,0.05829145728643216,0.062311557788944726,0.10753768844221105,0.02814070351758794,0.06432160804020101,0.09949748743718594,0.06532663316582915,0.05829145728643216,0.011055276381909548
28.49	0.9573821134899497	0.017085427135678392,0.06633165829145729,0.07135678391959799,0.09748743718592964,0.07738693467336684,0.024120603015075376,0.10251256281407035,0.05628140703517588,0.06733668341708543,0.10150753768844221,0.03015075376884422,0.061306532663316586,0.0914572864321608,0.06733668341708543,0.05628140703517588,0.012060301507537688
28.49	0.9511217898800293	0.010050251256281407,0.06030150753768844,0.07839195979899498,0.09547738693467336,0.07939698492462312,0.02512562814070352,0.10050251256281408,0.05728643216080402,0.061306532663316586,0.1135678391959799,0.02613065326633166,0.062311557788944726,0.09547738693467336,0.06331658291457286,0.05728643216080402,0.01407035175879397
28.49	0.9480829426356783	0.010050251256281407,0.06331658291457286,0.06934673366834171,0.10050251256281408,0.06934673366834171,0.021105527638190954,0.1035175879396985,0.06331658291457286,0.06331658291457286,0.10552763819095477,0.021105527638190954,0.06633165829145729,0.10050251256281408,0.06633165829145729,0.06331658291457286,0.01306532663316583
28.49	0.9577748628999897	0.006030150753768844,0.06331658291457286,0.06633165829145729,0.09246231155778895,0.06733668341708543,0.03015075376884422,0.09849246231155778,0.06633165829145729,0.06331658291457286,0.09447236180904522,0.031155778894472363,0.07336683417085427,0.09045226130653267,0.0743718592964824,0.06633165829145729,0.016080402010050253
28.49	0.9611879365486914	0.018090452261306532,0.05125628140703518,0.07839195979899498,0.07839195979899498,0.08040201005025126,0.035175879396984924,0.10854271356783919,0.05125628140703518,0.05125628140703518,0.10552763819095477,0.0371859296482412,0.0814070351758794,0.07537688442211055,0.08341708542713568,0.05125628140703518,0.01306532663316583
28.49	0.9490825379288925	0.010050251256281407,0.0592964824120603,0.08241206030150754,0.0914572864321608,0.07939698492462312,0.03015075376884422,0.10150753768844221,0.05628140703517588,0.0592964824120603,0.11457286432160804,0.027135678391959798,0.06633165829145729,0.09346733668341708,0.06432160804020101,0.05628140703517588,0.008040201005025126
28.49	0.9542111871484087	0.01306532663316583,0.053266331658291456,0.07939698492462312,0.08944723618090453,0.07537688442211055,0.031155778894472363,0.10150753768844221,0.05829145728643216,0.053266331658291456,0.11658291457286432,0.027135678391959798,0.07035175879396985,0.09447236180904522,0.06532663316582915,0.05829145728643216,0.01306532663316583
28.49	0.9569011971786929	0.004020100502512563,0.06432160804020101,0.07236180904522613,0.0914572864321608,0.07236180904522613,0.02914572864321608,0.09447236180904522,0.06532663316582915,0.06432160804020101,0.09949748743718594,0.02814070351758794,0.06834170854271357,0.09246231155778895,0.06733668341708543,0.06532663316582915,0.021105527638190954
28.49	0.9583393721898775	0.012060301507537688,0.05728643216080402,0.06733668341708543,0.08542713567839195,0.07035175879396985,0.035175879396984924,0.10954773869346733,0.05728643216080402,0.05728643216080402,0.0964824120603015,0.03819095477386935,0.08040201005025126,0.08341708542713568,0.08341708542713568,0.05728643216080402,0.009045226130653266
