ρ	Permutation_Entropy	Pattern_Probabilities
28.49	0.9569996052861366	0.01407035175879397,0.06030150753768844,0.06030150753768844,0.0864321608040201,0.06432160804020101,0.031155778894472363,0.11457286432160804,0.05829145728643216,0.06030150753768844,0.08743718592964825,0.035175879396984924,0.0864321608040201,0.08341708542713568,0.09045226130653267,0.05829145728643216,0.009045226130653266
28.49	0.9538328336530826	0.01306532663316583,0.05829145728643216,0.06934673366834171,0.09447236180904522,0.06432160804020101,0.032160804020100506,0.10552763819095477,0.061306532663316586,0.05829145728643216,0.10653266331658291,0.027135678391959798,0.07135678391959799,0.10050251256281408,0.06633165829145729,0.061306532663316586,0.010050251256281407
28.49	0.9528914677985443	0.008040201005025126,0.062311557788944726,0.06532663316582915,0.09346733668341708,0.06532663316582915,0.027135678391959798,0.10251256281407035,0.06733668341708543,0.062311557788944726,0.0964824120603015,0.027135678391959798,0.07537688442211055,0.09346733668341708,0.07537688442211055,0.06733668341708543,0.011055276381909548
28.49	0.9491180714280066	0.009045226130653266,0.05628140703517588,0.08442211055276382,0.08944723618090453,0.07939698492462312,0.02814070351758794,0.09849246231155778,0.0592964824120603,0.05628140703517588,0.1185929648241206,0.023115577889447236,0.06733668341708543,0.09547738693467336,0.062311557788944726,0.0592964824120603,0.01306532663316583
28.49	0.9586115433343038	0.01306532663316583,0.061306532663316586,0.06934673366834171,0.08442211055276382,0.06934673366834171,0.03015075376884422,0.10753768844221105,0.0592964824120603,0.061306532663316586,0.09246231155778895,0.031155778894472363,0.08241206030150754,0.08442211055276382,0.08341708542713568,0.0592964824120603,0.011055276381909548
28.49	0.9509860779110785	0.01306532663316583,0.05628140703517588,0.0814070351758794,0.08542713567839195,0.0814070351758794,0.022110552763819097,0.10251256281407035,0.0592964824120603,0.05728643216080402,0.10954773869346733,0.022110552763819097,0.0763819095477387,0.08542713567839195,0.0763819095477387,0.0592964824120603,0.012060301507537688
28.49	0.9501729535811825	0.010050251256281407,0.07537688442211055,0.06030150753768844,0.09849246231155778,0.06331658291457286,0.020100502512562814,0.08241206030150754,0.08241206030150754,0.07537688442211055,0.08442211055276382,0.023115577889447236,0.06633165829145729,0.0964824120603015,0.06934673366834171,0.08341708542713568,0.009045226130653266
28.49	0.949775675957231	0.007035175879396985,0.05527638190954774,0.07236180904522613,0.09949748743718594,0.0743718592964824,0.02914572864321608,0.10251256281407035,0.0592964824120603,0.05527638190954774,0.11658291457286432,0.031155778894472363,0.06331658291457286,0.0964824120603015,0.06532663316582915,0.0592964824120603,0.01306532663316583
28.49	0.9496086173513411	0.009045226130653266,0.053266331658291456,0.07336683417085427,0.09246231155778895,0.07336683417085427,0.031155778894472363,0.11055276381909548,0.05527638190954774,0.054271356783919596,0.11256281407035176,0.03015075376884422,0.07336683417085427,0.09346733668341708,0.07236180904522613,0.05527638190954774,0.010050251256281407
28.49	0.9582919933780537	0.009045226130653266,0.05829145728643216,0.062311557788944726,0.09547738693467336,0.07236180904522613,0.02914572864321608,0.10854271356783919,0.05728643216080402,0.05829145728643216,0.09949748743718594,0.03919597989949749,0.07035175879396985,0.08542713567839195,0.0814070351758794,0.05728643216080402,0.016080402010050253
