β	Permutation_Entropy	Pattern_Probabilities
2.49	0.9472030756057604	0.0743718592964824,0.0814070351758794,0.11256281407035176,0.04020100502512563,0.11256281407035176,0.09849246231155778,0.06030150753768844,0.019095477386934675,0.0814070351758794,0.07035175879396985,0.09849246231155778,0.03919597989949749,0.04020100502512563,0.03919597989949749,0.019095477386934675,0.01306532663316583
2.49	0.9538655189887446	0.06532663316582915,0.0743718592964824,0.11055276381909548,0.04924623115577889,0.12562814070351758,0.07939698492462312,0.0592964824120603,0.024120603015075376,0.0743718592964824,0.08542713567839195,0.09447236180904522,0.033165829145728645,0.034170854271356785,0.04924623115577889,0.024120603015075376,0.017085427135678392
2.49	0.9450305448190607	0.053266331658291456,0.07738693467336684,0.10653266331658291,0.062311557788944726,0.1185929648241206,0.08844221105527639,0.06432160804020101,0.021105527638190954,0.07738693467336684,0.0914572864321608,0.09949748743718594,0.023115577889447236,0.05025125628140704,0.035175879396984924,0.021105527638190954,0.010050251256281407
2.49	0.9386023171133909	0.08341708542713568,0.09045226130653267,0.11658291457286432,0.053266331658291456,0.11959798994974874,0.07939698492462312,0.05728643216080402,0.019095477386934675,0.0914572864321608,0.07939698492462312,0.08241206030150754,0.022110552763819097,0.05125628140703518,0.02512562814070352,0.019095477386934675,0.010050251256281407
2.49	0.9347377229853321	0.061306532663316586,0.07336683417085427,0.1185929648241206,0.04723618090452261,0.13366834170854272,0.08944723618090453,0.05527638190954774,0.019095477386934675,0.0743718592964824,0.09246231155778895,0.10452261306532663,0.027135678391959798,0.033165829145728645,0.04221105527638191,0.020100502512562814,0.008040201005025126
2.49	0.955486923081503	0.05628140703517588,0.07738693467336684,0.10954773869346733,0.04924623115577889,0.11055276381909548,0.09045226130653267,0.06733668341708543,0.024120603015075376,0.07738693467336684,0.0814070351758794,0.09045226130653267,0.04221105527638191,0.04824120603015075,0.04221105527638191,0.023115577889447236,0.010050251256281407
2.49	0.9365762963197568	0.0864321608040201,0.08040201005025126,0.11457286432160804,0.04623115577889447,0.12562814070351758,0.08241206030150754,0.06331658291457286,0.01507537688442211,0.08040201005025126,0.08040201005025126,0.09246231155778895,0.032160804020100506,0.036180904522613064,0.04221105527638191,0.01507537688442211,0.007035175879396985
2.49	0.9451527995754752	0.07738693467336684,0.08241206030150754,0.1135678391959799,0.053266331658291456,0.11959798994974874,0.07939698492462312,0.061306532663316586,0.021105527638190954,0.08241206030150754,0.08442211055276382,0.08542713567839195,0.02914572864321608,0.04723618090452261,0.035175879396984924,0.021105527638190954,0.007035175879396985
2.49	0.9466035501587988	0.06532663316582915,0.07537688442211055,0.11256281407035176,0.05025125628140704,0.12060301507537688,0.0914572864321608,0.05527638190954774,0.024120603015075376,0.0763819095477387,0.08743718592964825,0.09949748743718594,0.02814070351758794,0.04321608040201005,0.036180904522613064,0.024120603015075376,0.010050251256281407
2.49	0.9567242361818867	0.0763819095477387,0.07537688442211055,0.09849246231155778,0.053266331658291456,0.11155778894472362,0.08944723618090453,0.062311557788944726,0.023115577889447236,0.07537688442211055,0.0763819095477387,0.10251256281407035,0.032160804020100506,0.03919597989949749,0.04522613065326633,0.022110552763819097,0.017085427135678392
2.49	0.9598799373875065	0.06532663316582915,0.0814070351758794,0.11256281407035176,0.04723618090452261,0.1135678391959799,0.08743718592964825,0.05025125628140704,0.03015075376884422,0.08040201005025126,0.07939698492462312,0.08844221105527639,0.033165829145728645,0.04623115577889447,0.034170854271356785,0.03015075376884422,0.020100502512562814
2.49	0.949656702856902	0.08542713567839195,0.07336683417085427,0.11457286432160804,0.04623115577889447,0.12160804020100502,0.08341708542713568,0.053266331658291456,0.02512562814070352,0.07336683417085427,0.0864321608040201,0.09045226130653267,0.032160804020100506,0.03819095477386935,0.03919597989949749,0.02512562814070352,0.012060301507537688
2.49	0.9392850632015008	0.06331658291457286,0.06532663316582915,0.11155778894472362,0.044221105527638194,0.11758793969849246,0.10653266331658291,0.06331658291457286,0.017085427135678392,0.06532663316582915,0.08944723618090453,0.11256281407035176,0.036180904522613064,0.03819095477386935,0.04221105527638191,0.017085427135678392,0.010050251256281407
2.49	0.9485940446696267	0.05728643216080402,0.08844221105527639,0.11557788944723618,0.04020100502512563,0.11658291457286432,0.09748743718592964,0.05226130653266332,0.024120603015075376,0.08844221105527639,0.06733668341708543,0.09949748743718594,0.036180904522613064,0.03819095477386935,0.03819095477386935,0.024120603015075376,0.016080402010050253
2.49	0.958355072044248	0.07839195979899498,0.08442211055276382,0.09949748743718594,0.05226130653266332,0.1035175879396985,0.09246231155778895,0.05829145728643216,0.02512562814070352,0.08442211055276382,0.06834170854271357,0.0964824120603015,0.031155778894472363,0.04824120603015075,0.035175879396984924,0.02512562814070352,0.017085427135678392
2.49	0.9496852733217849	0.07537688442211055,0.07839195979899498,0.11055276381909548,0.053266331658291456,0.12964824120603016,0.07336683417085427,0.05628140703517588,0.020100502512562814,0.07839195979899498,0.08542713567839195,0.09246231155778895,0.024120603015075376,0.034170854271356785,0.04321608040201005,0.020100502512562814,0.02512562814070352
2.49	0.959891284664921	0.0763819095477387,0.06834170854271357,0.0964824120603015,0.05025125628140704,0.09949748743718594,0.09547738693467336,0.07336683417085427,0.021105527638190954,0.06834170854271357,0.07738693467336684,0.09949748743718594,0.044221105527638194,0.04623115577889447,0.04824120603015075,0.021105527638190954,0.01407035175879397
