μ	Permutation_Entropy	Pattern_Probabilities
1.8199990000000001	0.6112229904340646	0.0,0.021105527638190954,0.14673366834170853,0.0,0.14773869346733667,0.26834170854271355,0.0,0.0,0.021105527638190954,0.12663316582914572,0.26834170854271355,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6056198674264618	0.0,0.021105527638190954,0.1407035175879397,0.0,0.13969849246231156,0.2793969849246231,0.0,0.0,0.021105527638190954,0.1185929648241206,0.2793969849246231,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6341150941669154	0.0,0.035175879396984924,0.1527638190954774,0.0,0.15376884422110554,0.2522613065326633,0.0,0.0,0.035175879396984924,0.1185929648241206,0.2522613065326633,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6158503074634274	0.0,0.019095477386934675,0.15979899497487438,0.0,0.15979899497487438,0.25025125628140704,0.0,0.0,0.019095477386934675,0.14170854271356784,0.25025125628140704,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6214146526832921	0.0,0.023115577889447236,0.15879396984924624,0.0,0.15879396984924624,0.25025125628140704,0.0,0.0,0.023115577889447236,0.135678391959799,0.25025125628140704,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.615607815207413	0.0,0.020100502512562814,0.15678391959798996,0.0,0.15678391959798996,0.2552763819095477,0.0,0.0,0.020100502512562814,0.13668341708542714,0.2542713567839196,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6220343595480479	0.0,0.02512562814070352,0.15477386934673368,0.0,0.15477386934673368,0.2552763819095477,0.0,0.0,0.02512562814070352,0.12964824120603016,0.2552763819095477,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6024170129116655	0.0,0.019095477386934675,0.1407035175879397,0.0,0.13969849246231156,0.2804020100502513,0.0,0.0,0.019095477386934675,0.12060301507537688,0.2804020100502513,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6207691614995224	0.0,0.021105527638190954,0.16381909547738693,0.0,0.1628140703517588,0.2442211055276382,0.0,0.0,0.021105527638190954,0.14271356783919598,0.2442211055276382,0.0,0.0,0.0,0.0,0.0
1.8199990000000001	0.6188176606210732	0.0,0.02512562814070352,0.14974874371859295,0.0,0.14974874371859295,0.2623115577889447,0.0,0.0,0.02512562814070352,0.12462311557788945,0.2633165829145729,0.0,0.0,0.0,0.0,0.0
