ρ	Permutation_Entropy	Pattern_Probabilities
28.24	0.9588299340224705	0.011055276381909548,0.062311557788944726,0.06633165829145729,0.09246231155778895,0.06733668341708543,0.03015075376884422,0.10251256281407035,0.06331658291457286,0.062311557788944726,0.0964824120603015,0.031155778894472363,0.07236180904522613,0.0914572864321608,0.0743718592964824,0.06331658291457286,0.01306532663316583
28.24	0.9576025135713705	0.006030150753768844,0.05628140703517588,0.07537688442211055,0.09045226130653267,0.07738693467336684,0.032160804020100506,0.0914572864321608,0.06532663316582915,0.05527638190954774,0.11055276381909548,0.034170854271356785,0.06633165829145729,0.08844221105527639,0.06834170854271357,0.06532663316582915,0.017085427135678392
28.24	0.9660648832100229	0.011055276381909548,0.062311557788944726,0.06834170854271357,0.09246231155778895,0.07537688442211055,0.034170854271356785,0.0964824120603015,0.0592964824120603,0.062311557788944726,0.09849246231155778,0.04120603015075377,0.06331658291457286,0.0864321608040201,0.07035175879396985,0.0592964824120603,0.019095477386934675
28.24	0.9578183084755534	0.012060301507537688,0.054271356783919596,0.07236180904522613,0.08442211055276382,0.06633165829145729,0.04020100502512563,0.11055276381909548,0.05527638190954774,0.054271356783919596,0.1035175879396985,0.034170854271356785,0.08040201005025126,0.0914572864321608,0.0743718592964824,0.05527638190954774,0.011055276381909548
28.24	0.9467571076724883	0.012060301507537688,0.05025125628140704,0.08341708542713568,0.09246231155778895,0.08341708542713568,0.02914572864321608,0.10552763819095477,0.053266331658291456,0.05025125628140704,0.12462311557788945,0.02914572864321608,0.06633165829145729,0.0914572864321608,0.06633165829145729,0.053266331658291456,0.009045226130653266
28.24	0.9633698835655116	0.019095477386934675,0.05728643216080402,0.0592964824120603,0.08442211055276382,0.06532663316582915,0.031155778894472363,0.11658291457286432,0.05527638190954774,0.05728643216080402,0.0864321608040201,0.0371859296482412,0.08743718592964825,0.07839195979899498,0.09346733668341708,0.05527638190954774,0.016080402010050253
28.24	0.9504192557680665	0.01306532663316583,0.06030150753768844,0.061306532663316586,0.09748743718592964,0.06432160804020101,0.027135678391959798,0.11457286432160804,0.05829145728643216,0.06030150753768844,0.09849246231155778,0.03015075376884422,0.0763819095477387,0.09447236180904522,0.07839195979899498,0.05829145728643216,0.007035175879396985
28.24	0.9526570447099707	0.007035175879396985,0.06432160804020101,0.07035175879396985,0.09045226130653267,0.07035175879396985,0.024120603015075376,0.1035175879396985,0.06331658291457286,0.06432160804020101,0.0964824120603015,0.02512562814070352,0.0763819095477387,0.08944723618090453,0.07738693467336684,0.06331658291457286,0.01407035175879397
28.24	0.9614820908682369	0.023115577889447236,0.06331658291457286,0.07537688442211055,0.0914572864321608,0.07537688442211055,0.02613065326633166,0.09849246231155778,0.0592964824120603,0.062311557788944726,0.1035175879396985,0.02613065326633166,0.06633165829145729,0.09045226130653267,0.06633165829145729,0.0592964824120603,0.01306532663316583
28.24	0.9526893685447375	0.019095477386934675,0.061306532663316586,0.06633165829145729,0.0964824120603015,0.06633165829145729,0.03015075376884422,0.11155778894472362,0.05628140703517588,0.061306532663316586,0.10050251256281408,0.031155778894472363,0.07135678391959799,0.09547738693467336,0.07236180904522613,0.05628140703517588,0.004020100502512563
