a	Permutation_Entropy	Pattern_Probabilities
0.2025	0.745287767826793	0.0,0.13165829145728644,0.007035175879396985,0.18090452261306533,0.007035175879396985,0.0,0.0592964824120603,0.12261306532663317,0.13165829145728644,0.05628140703517588,0.0,0.0,0.18090452261306533,0.0,0.12261306532663317,0.0
0.2025	0.7333771764122595	0.0,0.13266331658291458,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.06834170854271357,0.11758793969849246,0.13266331658291458,0.05527638190954774,0.0,0.0,0.18592964824120603,0.0,0.11758793969849246,0.0
0.2025	0.7357705076306754	0.0,0.13467336683417086,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.06934673366834171,0.11557788944723618,0.13467336683417086,0.053266331658291456,0.0,0.0,0.1849246231155779,0.0,0.11557788944723618,0.0
0.2025	0.7371382675618764	0.0,0.1407035175879397,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.0743718592964824,0.10954773869346733,0.1407035175879397,0.04824120603015075,0.0,0.0,0.18391959798994975,0.0,0.10954773869346733,0.0
0.2025	0.7407187886169168	0.0,0.135678391959799,0.005025125628140704,0.1829145728643216,0.005025125628140704,0.0,0.06733668341708543,0.11658291457286432,0.135678391959799,0.05226130653266332,0.0,0.0,0.1829145728643216,0.0,0.11658291457286432,0.0
0.2025	0.7409553283658356	0.0,0.14170854271356784,0.006030150753768844,0.1829145728643216,0.006030150753768844,0.0,0.07035175879396985,0.11155778894472362,0.14170854271356784,0.04623115577889447,0.0,0.0,0.18190954773869347,0.0,0.11155778894472362,0.0
0.2025	0.7366348253049764	0.0,0.1306532663316583,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06432160804020101,0.12060301507537688,0.12964824120603016,0.05829145728643216,0.0,0.0,0.1849246231155779,0.0,0.12060301507537688,0.0
0.2025	0.7286750929953459	0.0,0.13869346733668342,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07738693467336684,0.10954773869346733,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18693467336683417,0.0,0.10954773869346733,0.0
0.2025	0.7288681201425488	0.0,0.13869346733668342,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07738693467336684,0.11055276381909548,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18693467336683417,0.0,0.10954773869346733,0.0
0.2025	0.734923188545176	0.0,0.13969849246231156,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.0743718592964824,0.11055276381909548,0.13969849246231156,0.04924623115577889,0.0,0.0,0.1849246231155779,0.0,0.11055276381909548,0.0
0.2025	0.7310908033512517	0.0,0.12964824120603016,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.06934673366834171,0.1185929648241206,0.12964824120603016,0.05829145728643216,0.0,0.0,0.18693467336683417,0.0,0.1185929648241206,0.0
0.2025	0.7279571894521354	0.0,0.1407035175879397,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07939698492462312,0.10753768844221105,0.1407035175879397,0.04723618090452261,0.0,0.0,0.18693467336683417,0.0,0.10753768844221105,0.0
0.2025	0.7316443352885563	0.0,0.13969849246231156,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.07537688442211055,0.11055276381909548,0.13969849246231156,0.04824120603015075,0.0,0.0,0.18592964824120603,0.0,0.11055276381909548,0.0
0.2025	0.7350586145251163	0.0,0.13768844221105528,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.07135678391959799,0.1135678391959799,0.13768844221105528,0.05025125628140704,0.0,0.0,0.1849246231155779,0.0,0.1135678391959799,0.0
0.2025	0.7294834107131973	0.0,0.13668341708542714,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07537688442211055,0.11256281407035176,0.13668341708542714,0.05125628140703518,0.0,0.0,0.18693467336683417,0.0,0.11155778894472362,0.0
0.2025	0.7319187868334696	0.0,0.13869346733668342,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07537688442211055,0.11055276381909548,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18592964824120603,0.0,0.11055276381909548,0.0
0.2025	0.7406968027324922	0.0,0.13467336683417086,0.005025125628140704,0.1829145728643216,0.005025125628140704,0.0,0.06532663316582915,0.1185929648241206,0.13467336683417086,0.053266331658291456,0.0,0.0,0.1829145728643216,0.0,0.11758793969849246,0.0
0.2025	0.7357709318349113	0.0,0.14371859296482412,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.0763819095477387,0.10854271356783919,0.14371859296482412,0.044221105527638194,0.0,0.0,0.18391959798994975,0.0,0.10753768844221105,0.0
0.2025	0.7342892951184725	0.0,0.1407035175879397,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.07537688442211055,0.11055276381909548,0.1407035175879397,0.04723618090452261,0.0,0.0,0.1849246231155779,0.0,0.10954773869346733,0.0
0.2025	0.7347533063264163	0.0,0.13869346733668342,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07336683417085427,0.11155778894472362,0.13869346733668342,0.04924623115577889,0.0,0.0,0.1849246231155779,0.0,0.11155778894472362,0.0
0.2025	0.7387609933046184	0.0,0.13366834170854272,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.06633165829145729,0.11758793969849246,0.13266331658291458,0.05527638190954774,0.0,0.0,0.18391959798994975,0.0,0.11758793969849246,0.0
0.2025	0.7295683073163827	0.0,0.13668341708542714,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07738693467336684,0.11055276381909548,0.13668341708542714,0.05125628140703518,0.0,0.0,0.18693467336683417,0.0,0.11055276381909548,0.0
0.2025	0.7324099873746343	0.0,0.13768844221105528,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.0743718592964824,0.11256281407035176,0.13768844221105528,0.05025125628140704,0.0,0.0,0.18592964824120603,0.0,0.11155778894472362,0.0
0.2025	0.7288681201425488	0.0,0.13869346733668342,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07738693467336684,0.11055276381909548,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18693467336683417,0.0,0.10954773869346733,0.0
0.2025	0.7370815377498094	0.0,0.1407035175879397,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.07336683417085427,0.11055276381909548,0.13969849246231156,0.04824120603015075,0.0,0.0,0.18391959798994975,0.0,0.11055276381909548,0.0
0.2025	0.7344240659356851	0.0,0.1407035175879397,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.0763819095477387,0.10954773869346733,0.1407035175879397,0.04723618090452261,0.0,0.0,0.1849246231155779,0.0,0.10954773869346733,0.0
0.2025	0.7380329567498917	0.0,0.135678391959799,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.06733668341708543,0.11658291457286432,0.135678391959799,0.05226130653266332,0.0,0.0,0.18391959798994975,0.0,0.11658291457286432,0.0
0.2025	0.7359650979157684	0.0,0.13366834170854272,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.06834170854271357,0.11658291457286432,0.13366834170854272,0.054271356783919596,0.0,0.0,0.1849246231155779,0.0,0.11658291457286432,0.0
0.2025	0.7357247237035002	0.0,0.135678391959799,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07135678391959799,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.1135678391959799,0.0
0.2025	0.7357705076306754	0.0,0.13467336683417086,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.06934673366834171,0.11557788944723618,0.13467336683417086,0.053266331658291456,0.0,0.0,0.1849246231155779,0.0,0.11557788944723618,0.0
0.2025	0.7329262812622045	0.0,0.135678391959799,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07336683417085427,0.1135678391959799,0.135678391959799,0.05226130653266332,0.0,0.0,0.18592964824120603,0.0,0.11256281407035176,0.0
0.2025	0.7240341665343938	0.0,0.13969849246231156,0.0,0.18894472361809045,0.0,0.0,0.08040201005025126,0.10753768844221105,0.13969849246231156,0.04824120603015075,0.0,0.0,0.1879396984924623,0.0,0.10753768844221105,0.0
0.2025	0.734624693482332	0.0,0.13969849246231156,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.0743718592964824,0.11155778894472362,0.13969849246231156,0.04824120603015075,0.0,0.0,0.1849246231155779,0.0,0.11055276381909548,0.0
0.2025	0.7355440706629617	0.0,0.135678391959799,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06934673366834171,0.11557788944723618,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.11557788944723618,0.0
0.2025	0.7327670152350514	0.0,0.135678391959799,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07236180904522613,0.1135678391959799,0.135678391959799,0.05226130653266332,0.0,0.0,0.18592964824120603,0.0,0.1135678391959799,0.0
0.2025	0.7337371065063862	0.0,0.14170854271356784,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.0763819095477387,0.10854271356783919,0.14170854271356784,0.04623115577889447,0.0,0.0,0.1849246231155779,0.0,0.10854271356783919,0.0
0.2025	0.7267783771386895	0.0,0.12964824120603016,0.0,0.18894472361809045,0.0,0.0,0.07135678391959799,0.11758793969849246,0.12964824120603016,0.05829145728643216,0.0,0.0,0.1879396984924623,0.0,0.11658291457286432,0.0
0.2025	0.7344768953871441	0.0,0.13969849246231156,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.07336683417085427,0.11155778894472362,0.13969849246231156,0.04824120603015075,0.0,0.0,0.1849246231155779,0.0,0.11155778894472362,0.0
0.2025	0.7368748662858399	0.0,0.1407035175879397,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.07336683417085427,0.11055276381909548,0.1407035175879397,0.04723618090452261,0.0,0.0,0.18391959798994975,0.0,0.11155778894472362,0.0
0.2025	0.7327775794475794	0.0,0.135678391959799,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.07135678391959799,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.18592964824120603,0.0,0.11457286432160804,0.0
0.2025	0.7395561832359032	0.0,0.1407035175879397,0.005025125628140704,0.1829145728643216,0.005025125628140704,0.0,0.07135678391959799,0.11155778894472362,0.1407035175879397,0.04824120603015075,0.0,0.0,0.1829145728643216,0.0,0.11155778894472362,0.0
0.2025	0.7393738301517683	0.0,0.13969849246231156,0.005025125628140704,0.18391959798994975,0.005025125628140704,0.0,0.07035175879396985,0.11256281407035176,0.13969849246231156,0.04824120603015075,0.0,0.0,0.1829145728643216,0.0,0.11256281407035176,0.0
0.2025	0.7381697760714628	0.0,0.13668341708542714,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.06834170854271357,0.11557788944723618,0.135678391959799,0.05226130653266332,0.0,0.0,0.18391959798994975,0.0,0.11557788944723618,0.0
0.2025	0.7401443978000815	0.0,0.13668341708542714,0.005025125628140704,0.18391959798994975,0.005025125628140704,0.0,0.06733668341708543,0.11557788944723618,0.13668341708542714,0.05125628140703518,0.0,0.0,0.1829145728643216,0.0,0.11557788944723618,0.0
0.2025	0.7427891142582191	0.0,0.13467336683417086,0.006030150753768844,0.18190954773869347,0.006030150753768844,0.0,0.06331658291457286,0.11959798994974874,0.13467336683417086,0.053266331658291456,0.0,0.0,0.18190954773869347,0.0,0.1185929648241206,0.0
0.2025	0.7327670152350514	0.0,0.135678391959799,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07236180904522613,0.1135678391959799,0.135678391959799,0.05226130653266332,0.0,0.0,0.18592964824120603,0.0,0.1135678391959799,0.0
0.2025	0.742482141541528	0.0,0.13668341708542714,0.006030150753768844,0.1829145728643216,0.006030150753768844,0.0,0.06633165829145729,0.11658291457286432,0.13668341708542714,0.05125628140703518,0.0,0.0,0.18190954773869347,0.0,0.11557788944723618,0.0
0.2025	0.7367221024710773	0.0,0.1407035175879397,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.07236180904522613,0.11155778894472362,0.1407035175879397,0.04723618090452261,0.0,0.0,0.18391959798994975,0.0,0.11155778894472362,0.0
0.2025	0.7337306744230665	0.0,0.13165829145728644,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.06834170854271357,0.11758793969849246,0.13165829145728644,0.05628140703517588,0.0,0.0,0.18592964824120603,0.0,0.1185929648241206,0.0
