a	Permutation_Entropy	Pattern_Probabilities
0.2025	0.7368874865856924	0.0,0.12964824120603016,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06532663316582915,0.12060301507537688,0.12964824120603016,0.05829145728643216,0.0,0.0,0.1849246231155779,0.0,0.12060301507537688,0.0
0.2025	0.7359402892148043	0.0,0.13467336683417086,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.06934673366834171,0.11658291457286432,0.13467336683417086,0.053266331658291456,0.0,0.0,0.1849246231155779,0.0,0.11557788944723618,0.0
0.2025	0.7370327750664348	0.0,0.13969849246231156,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.07135678391959799,0.11256281407035176,0.13969849246231156,0.04824120603015075,0.0,0.0,0.18391959798994975,0.0,0.11256281407035176,0.0
0.2025	0.7384170440351596	0.0,0.135678391959799,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.06934673366834171,0.11557788944723618,0.135678391959799,0.05226130653266332,0.0,0.0,0.18391959798994975,0.0,0.11557788944723618,0.0
0.2025	0.7361544761226839	0.0,0.13366834170854272,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.06934673366834171,0.11658291457286432,0.13366834170854272,0.054271356783919596,0.0,0.0,0.1849246231155779,0.0,0.11557788944723618,0.0
0.2025	0.7284421693096622	0.0,0.13969849246231156,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07939698492462312,0.10854271356783919,0.13969849246231156,0.04824120603015075,0.0,0.0,0.18693467336683417,0.0,0.10753768844221105,0.0
0.2025	0.7297182809596001	0.0,0.135678391959799,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07537688442211055,0.11256281407035176,0.135678391959799,0.05226130653266332,0.0,0.0,0.18693467336683417,0.0,0.11155778894472362,0.0
0.2025	0.7355521094916461	0.0,0.135678391959799,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07035175879396985,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.11457286432160804,0.0
0.2025	0.7342316214346808	0.0,0.1407035175879397,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.0763819095477387,0.10954773869346733,0.1407035175879397,0.04723618090452261,0.0,0.0,0.1849246231155779,0.0,0.10854271356783919,0.0
0.2025	0.7328054738321853	0.0,0.14472361809045226,0.003015075376884422,0.1849246231155779,0.003015075376884422,0.0,0.08040201005025126,0.10552763819095477,0.14472361809045226,0.04321608040201005,0.0,0.0,0.1849246231155779,0.0,0.10552763819095477,0.0
0.2025	0.7220049916771721	0.0,0.14472361809045226,0.0,0.1879396984924623,0.0,0.0,0.08442211055276382,0.1035175879396985,0.14472361809045226,0.04321608040201005,0.0,0.0,0.1879396984924623,0.0,0.1035175879396985,0.0
0.2025	0.737311156049053	0.0,0.13869346733668342,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.07135678391959799,0.11256281407035176,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18391959798994975,0.0,0.11256281407035176,0.0
0.2025	0.7360042011189152	0.0,0.135678391959799,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07135678391959799,0.1135678391959799,0.135678391959799,0.053266331658291456,0.0,0.0,0.1849246231155779,0.0,0.1135678391959799,0.0
0.2025	0.7392607835241232	0.0,0.12763819095477386,0.004020100502512563,0.1849246231155779,0.004020100502512563,0.0,0.061306532663316586,0.12361809045226131,0.12763819095477386,0.06030150753768844,0.0,0.0,0.18391959798994975,0.0,0.12261306532663317,0.0
0.2025	0.7395399999524984	0.0,0.13969849246231156,0.005025125628140704,0.18391959798994975,0.005025125628140704,0.0,0.07135678391959799,0.11256281407035176,0.13969849246231156,0.04824120603015075,0.0,0.0,0.1829145728643216,0.0,0.11155778894472362,0.0
0.2025	0.7327670152350514	0.0,0.135678391959799,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07236180904522613,0.1135678391959799,0.135678391959799,0.05226130653266332,0.0,0.0,0.18592964824120603,0.0,0.1135678391959799,0.0
0.2025	0.7329450880513106	0.0,0.135678391959799,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.07236180904522613,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.18592964824120603,0.0,0.1135678391959799,0.0
0.2025	0.7308538199186084	0.0,0.14170854271356784,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07839195979899498,0.10753768844221105,0.14170854271356784,0.04623115577889447,0.0,0.0,0.18592964824120603,0.0,0.10753768844221105,0.0
0.2025	0.7335851880799518	0.0,0.13266331658291458,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07035175879396985,0.11658291457286432,0.13266331658291458,0.05527638190954774,0.0,0.0,0.18592964824120603,0.0,0.11557788944723618,0.0
0.2025	0.7296247425903502	0.0,0.13668341708542714,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.0763819095477387,0.11155778894472362,0.13668341708542714,0.05125628140703518,0.0,0.0,0.18693467336683417,0.0,0.11155778894472362,0.0
0.2025	0.7317791061057689	0.0,0.13969849246231156,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.0763819095477387,0.11055276381909548,0.13969849246231156,0.04824120603015075,0.0,0.0,0.18592964824120603,0.0,0.10954773869346733,0.0
0.2025	0.7236472553680855	0.0,0.1407035175879397,0.0,0.18894472361809045,0.0,0.0,0.0814070351758794,0.10653266331658291,0.1407035175879397,0.04723618090452261,0.0,0.0,0.1879396984924623,0.0,0.10653266331658291,0.0
