ρ	Permutation_Entropy	Pattern_Probabilities
28.24	0.9535219382731032	0.011055276381909548,0.05829145728643216,0.07035175879396985,0.08944723618090453,0.07035175879396985,0.02512562814070352,0.10552763819095477,0.062311557788944726,0.05829145728643216,0.10150753768844221,0.02613065326633166,0.07839195979899498,0.08944723618090453,0.07939698492462312,0.062311557788944726,0.012060301507537688
28.24	0.9586915583864917	0.011055276381909548,0.06934673366834171,0.0763819095477387,0.09246231155778895,0.08040201005025126,0.027135678391959798,0.09346733668341708,0.06030150753768844,0.06934673366834171,0.10050251256281408,0.031155778894472363,0.06030150753768844,0.08944723618090453,0.06432160804020101,0.06030150753768844,0.01407035175879397
28.24	0.9519520218516713	0.01306532663316583,0.07035175879396985,0.06633165829145729,0.09949748743718594,0.06331658291457286,0.02512562814070352,0.09849246231155778,0.06733668341708543,0.07035175879396985,0.09547738693467336,0.022110552763819097,0.06532663316582915,0.1035175879396985,0.062311557788944726,0.06733668341708543,0.010050251256281407
28.24	0.9513368971636432	0.007035175879396985,0.05829145728643216,0.0743718592964824,0.09246231155778895,0.07939698492462312,0.02814070351758794,0.10552763819095477,0.05628140703517588,0.05829145728643216,0.10854271356783919,0.033165829145728645,0.06934673366834171,0.08743718592964825,0.0743718592964824,0.05628140703517588,0.011055276381909548
28.24	0.9570960808732782	0.010050251256281407,0.06432160804020101,0.062311557788944726,0.09246231155778895,0.06432160804020101,0.02512562814070352,0.10150753768844221,0.06733668341708543,0.06532663316582915,0.09045226130653267,0.027135678391959798,0.0763819095477387,0.0914572864321608,0.07839195979899498,0.06834170854271357,0.01507537688442211
28.24	0.9599920770265573	0.01407035175879397,0.054271356783919596,0.06432160804020101,0.08944723618090453,0.062311557788944726,0.034170854271356785,0.11055276381909548,0.0592964824120603,0.05527638190954774,0.09949748743718594,0.032160804020100506,0.08040201005025126,0.09246231155778895,0.07738693467336684,0.0592964824120603,0.01507537688442211
28.24	0.9533015924822841	0.019095477386934675,0.06331658291457286,0.06834170854271357,0.0964824120603015,0.06733668341708543,0.024120603015075376,0.1135678391959799,0.054271356783919596,0.06331658291457286,0.10150753768844221,0.024120603015075376,0.07135678391959799,0.0964824120603015,0.07135678391959799,0.054271356783919596,0.011055276381909548
28.24	0.953490098120137	0.017085427135678392,0.05125628140703518,0.08542713567839195,0.0864321608040201,0.0763819095477387,0.031155778894472363,0.09748743718592964,0.0592964824120603,0.05125628140703518,0.12060301507537688,0.023115577889447236,0.07035175879396985,0.09547738693467336,0.062311557788944726,0.06030150753768844,0.012060301507537688
28.24	0.9509438981181081	0.01306532663316583,0.06733668341708543,0.07035175879396985,0.09949748743718594,0.07236180904522613,0.02512562814070352,0.09849246231155778,0.06331658291457286,0.06633165829145729,0.10251256281407035,0.02814070351758794,0.062311557788944726,0.0964824120603015,0.06532663316582915,0.06331658291457286,0.006030150753768844
28.24	0.9565927170379469	0.010050251256281407,0.06030150753768844,0.07537688442211055,0.09246231155778895,0.07939698492462312,0.02613065326633166,0.09949748743718594,0.0592964824120603,0.06030150753768844,0.10753768844221105,0.03015075376884422,0.06532663316582915,0.08844221105527639,0.07035175879396985,0.0592964824120603,0.016080402010050253
28.24	0.9566888345513402	0.009045226130653266,0.053266331658291456,0.08040201005025126,0.07839195979899498,0.07939698492462312,0.02914572864321608,0.10452261306532663,0.05728643216080402,0.053266331658291456,0.10552763819095477,0.02814070351758794,0.08341708542713568,0.07939698492462312,0.08241206030150754,0.05728643216080402,0.019095477386934675
28.24	0.9530967435401279	0.009045226130653266,0.06733668341708543,0.07839195979899498,0.09045226130653267,0.07135678391959799,0.02814070351758794,0.08844221105527639,0.06934673366834171,0.06733668341708543,0.10251256281407035,0.020100502512562814,0.06733668341708543,0.09849246231155778,0.0592964824120603,0.06934673366834171,0.01306532663316583
28.24	0.9506578534459914	0.012060301507537688,0.0763819095477387,0.05829145728643216,0.10251256281407035,0.06030150753768844,0.019095477386934675,0.10050251256281408,0.06934673366834171,0.0763819095477387,0.08442211055276382,0.021105527638190954,0.06733668341708543,0.10050251256281408,0.06934673366834171,0.06934673366834171,0.01306532663316583
28.24	0.9459967977644534	0.010050251256281407,0.06934673366834171,0.07035175879396985,0.10452261306532663,0.07336683417085427,0.016080402010050253,0.09346733668341708,0.06733668341708543,0.07035175879396985,0.10552763819095477,0.019095477386934675,0.05628140703517588,0.10251256281407035,0.0592964824120603,0.06733668341708543,0.01507537688442211
28.24	0.9430023925037389	0.012060301507537688,0.06934673366834171,0.061306532663316586,0.0964824120603015,0.062311557788944726,0.024120603015075376,0.11055276381909548,0.06331658291457286,0.06934673366834171,0.08944723618090453,0.02512562814070352,0.07738693467336684,0.0964824120603015,0.07839195979899498,0.06331658291457286,0.0010050251256281408
28.24	0.9515832263227769	0.010050251256281407,0.05829145728643216,0.07035175879396985,0.09547738693467336,0.07035175879396985,0.02814070351758794,0.11055276381909548,0.05628140703517588,0.0592964824120603,0.10653266331658291,0.02814070351758794,0.07135678391959799,0.09547738693467336,0.07135678391959799,0.05628140703517588,0.012060301507537688
