a	Permutation_Entropy	Pattern_Probabilities
0.2025	0.7304293581881774	0.0,0.13266331658291458,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07135678391959799,0.11658291457286432,0.13266331658291458,0.05527638190954774,0.0,0.0,0.18693467336683417,0.0,0.11557788944723618,0.0
0.2025	0.737689440819146	0.0,0.13869346733668342,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.07035175879396985,0.1135678391959799,0.13768844221105528,0.05025125628140704,0.0,0.0,0.18391959798994975,0.0,0.1135678391959799,0.0
0.2025	0.7313516912484855	0.0,0.1407035175879397,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07839195979899498,0.10854271356783919,0.1407035175879397,0.04723618090452261,0.0,0.0,0.18592964824120603,0.0,0.10753768844221105,0.0
0.2025	0.7319187868334696	0.0,0.13869346733668342,0.0020100502512562816,0.18693467336683417,0.0020100502512562816,0.0,0.07537688442211055,0.11055276381909548,0.13869346733668342,0.04924623115577889,0.0,0.0,0.18592964824120603,0.0,0.11055276381909548,0.0
0.2025	0.7357247237035002	0.0,0.135678391959799,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07135678391959799,0.11457286432160804,0.135678391959799,0.05226130653266332,0.0,0.0,0.1849246231155779,0.0,0.1135678391959799,0.0
0.2025	0.7297182809596001	0.0,0.135678391959799,0.0010050251256281408,0.1879396984924623,0.0010050251256281408,0.0,0.07537688442211055,0.11256281407035176,0.135678391959799,0.05226130653266332,0.0,0.0,0.18693467336683417,0.0,0.11155778894472362,0.0
0.2025	0.7358931233941605	0.0,0.135678391959799,0.003015075376884422,0.18592964824120603,0.003015075376884422,0.0,0.07035175879396985,0.11457286432160804,0.13467336683417086,0.053266331658291456,0.0,0.0,0.1849246231155779,0.0,0.11457286432160804,0.0
0.2025	0.7284529686298056	0.0,0.1407035175879397,0.0010050251256281408,0.18693467336683417,0.0010050251256281408,0.0,0.07939698492462312,0.10753768844221105,0.1407035175879397,0.04824120603015075,0.0,0.0,0.18693467336683417,0.0,0.10753768844221105,0.0
0.2025	0.737689440819146	0.0,0.13869346733668342,0.004020100502512563,0.18391959798994975,0.004020100502512563,0.0,0.07035175879396985,0.1135678391959799,0.13768844221105528,0.05025125628140704,0.0,0.0,0.18391959798994975,0.0,0.1135678391959799,0.0
0.2025	0.7341399644204225	0.0,0.12763819095477386,0.0020100502512562816,0.18592964824120603,0.0020100502512562816,0.0,0.06432160804020101,0.12261306532663317,0.12763819095477386,0.06030150753768844,0.0,0.0,0.18592964824120603,0.0,0.12160804020100502,0.0
