ρ	Permutation_Entropy	Pattern_Probabilities
28.99	0.9571523434926492	0.01407035175879397,0.062311557788944726,0.062311557788944726,0.09547738693467336,0.06030150753768844,0.02914572864321608,0.10954773869346733,0.061306532663316586,0.062311557788944726,0.09547738693467336,0.027135678391959798,0.0743718592964824,0.09849246231155778,0.07236180904522613,0.061306532663316586,0.01407035175879397
28.99	0.9579007998310566	0.010050251256281407,0.062311557788944726,0.07035175879396985,0.08944723618090453,0.06633165829145729,0.032160804020100506,0.10150753768844221,0.06331658291457286,0.062311557788944726,0.09748743718592964,0.02814070351758794,0.07537688442211055,0.09346733668341708,0.07135678391959799,0.06331658291457286,0.01306532663316583
28.99	0.9496521349396708	0.011055276381909548,0.05728643216080402,0.0763819095477387,0.08442211055276382,0.07135678391959799,0.02814070351758794,0.10452261306532663,0.062311557788944726,0.05728643216080402,0.1035175879396985,0.023115577889447236,0.08241206030150754,0.09045226130653267,0.07738693467336684,0.06331658291457286,0.007035175879396985
28.99	0.9556663845515325	0.010050251256281407,0.062311557788944726,0.07336683417085427,0.08743718592964825,0.06633165829145729,0.031155778894472363,0.10150753768844221,0.06432160804020101,0.062311557788944726,0.09748743718592964,0.024120603015075376,0.07839195979899498,0.09346733668341708,0.07135678391959799,0.06432160804020101,0.012060301507537688
28.99	0.9609385678471046	0.01306532663316583,0.06633165829145729,0.06633165829145729,0.0914572864321608,0.06834170854271357,0.032160804020100506,0.0964824120603015,0.06633165829145729,0.06532663316582915,0.0914572864321608,0.034170854271356785,0.07135678391959799,0.08844221105527639,0.07336683417085427,0.06633165829145729,0.009045226130653266
28.99	0.9551585895402848	0.009045226130653266,0.061306532663316586,0.07135678391959799,0.08944723618090453,0.06733668341708543,0.033165829145728645,0.09949748743718594,0.06532663316582915,0.061306532663316586,0.09949748743718594,0.02914572864321608,0.07537688442211055,0.09346733668341708,0.07035175879396985,0.06532663316582915,0.009045226130653266
28.99	0.9612159592186406	0.012060301507537688,0.061306532663316586,0.07738693467336684,0.0814070351758794,0.08241206030150754,0.034170854271356785,0.0964824120603015,0.0592964824120603,0.061306532663316586,0.09748743718592964,0.03919597989949749,0.0743718592964824,0.0763819095477387,0.07939698492462312,0.05829145728643216,0.009045226130653266
28.99	0.954275144139656	0.010050251256281407,0.06030150753768844,0.0592964824120603,0.10251256281407035,0.06030150753768844,0.03015075376884422,0.10753768844221105,0.062311557788944726,0.06030150753768844,0.10150753768844221,0.031155778894472363,0.06733668341708543,0.10150753768844221,0.06934673366834171,0.062311557788944726,0.01407035175879397
28.99	0.9598023094138317	0.008040201005025126,0.06030150753768844,0.08241206030150754,0.08442211055276382,0.07939698492462312,0.04120603015075377,0.0914572864321608,0.0592964824120603,0.06030150753768844,0.10753768844221105,0.0371859296482412,0.06633165829145729,0.08844221105527639,0.062311557788944726,0.0592964824120603,0.012060301507537688
28.99	0.9448532323043056	0.011055276381909548,0.0763819095477387,0.05829145728643216,0.09447236180904522,0.062311557788944726,0.022110552763819097,0.11658291457286432,0.0592964824120603,0.07537688442211055,0.07738693467336684,0.02613065326633166,0.0814070351758794,0.09045226130653267,0.08542713567839195,0.0592964824120603,0.004020100502512563
28.99	0.9483475682011914	0.007035175879396985,0.06030150753768844,0.05829145728643216,0.09447236180904522,0.05527638190954774,0.033165829145728645,0.11658291457286432,0.061306532663316586,0.06030150753768844,0.09246231155778895,0.03015075376884422,0.08341708542713568,0.09748743718592964,0.08040201005025126,0.061306532663316586,0.008040201005025126
