ρ	Permutation_Entropy	Pattern_Probabilities
28.99	0.9586460200574973	0.008040201005025126,0.05628140703517588,0.0592964824120603,0.10150753768844221,0.06934673366834171,0.031155778894472363,0.10150753768844221,0.06331658291457286,0.05628140703517588,0.10452261306532663,0.04120603015075377,0.06331658291457286,0.09045226130653267,0.07336683417085427,0.06331658291457286,0.017085427135678392
28.99	0.952354092604361	0.01407035175879397,0.05125628140703518,0.06432160804020101,0.0964824120603015,0.05728643216080402,0.0371859296482412,0.11758793969849246,0.05527638190954774,0.05025125628140704,0.10954773869346733,0.03015075376884422,0.0763819095477387,0.10251256281407035,0.07035175879396985,0.05527638190954774,0.012060301507537688
28.99	0.9588517759184023	0.010050251256281407,0.062311557788944726,0.06030150753768844,0.08743718592964825,0.05829145728643216,0.03819095477386935,0.10954773869346733,0.062311557788944726,0.062311557788944726,0.08442211055276382,0.036180904522613064,0.08442211055276382,0.08844221105527639,0.08341708542713568,0.062311557788944726,0.010050251256281407
28.99	0.9523843860284568	0.012060301507537688,0.05527638190954774,0.07738693467336684,0.08341708542713568,0.07336683417085427,0.0371859296482412,0.11155778894472362,0.05226130653266332,0.05527638190954774,0.10552763819095477,0.033165829145728645,0.08040201005025126,0.08844221105527639,0.0763819095477387,0.05226130653266332,0.006030150753768844
28.99	0.9572313751146226	0.011055276381909548,0.06030150753768844,0.07336683417085427,0.09246231155778895,0.07336683417085427,0.032160804020100506,0.10050251256281408,0.0592964824120603,0.06030150753768844,0.10653266331658291,0.032160804020100506,0.06733668341708543,0.09346733668341708,0.06633165829145729,0.0592964824120603,0.012060301507537688
28.99	0.9615770721806831	0.012060301507537688,0.05628140703517588,0.07035175879396985,0.0864321608040201,0.07336683417085427,0.036180904522613064,0.10452261306532663,0.05728643216080402,0.05628140703517588,0.10050251256281408,0.04020100502512563,0.07537688442211055,0.08241206030150754,0.07939698492462312,0.05728643216080402,0.012060301507537688
28.99	0.9647369675205749	0.012060301507537688,0.06432160804020101,0.07135678391959799,0.08844221105527639,0.06532663316582915,0.036180904522613064,0.0864321608040201,0.07135678391959799,0.06432160804020101,0.09547738693467336,0.03015075376884422,0.06934673366834171,0.09447236180904522,0.06331658291457286,0.07135678391959799,0.016080402010050253
28.99	0.9638517395790616	0.017085427135678392,0.05527638190954774,0.08040201005025126,0.08040201005025126,0.0763819095477387,0.04522613065326633,0.0964824120603015,0.05628140703517588,0.05527638190954774,0.10552763819095477,0.04120603015075377,0.07336683417085427,0.08341708542713568,0.06934673366834171,0.05628140703517588,0.008040201005025126
28.99	0.9555313675742483	0.011055276381909548,0.06331658291457286,0.07738693467336684,0.08944723618090453,0.07035175879396985,0.036180904522613064,0.09849246231155778,0.06030150753768844,0.06331658291457286,0.10452261306532663,0.02814070351758794,0.06934673366834171,0.09748743718592964,0.061306532663316586,0.06030150753768844,0.009045226130653266
28.99	0.9575666540543848	0.010050251256281407,0.06834170854271357,0.07939698492462312,0.09045226130653267,0.08341708542713568,0.02814070351758794,0.0914572864321608,0.06030150753768844,0.06834170854271357,0.10251256281407035,0.032160804020100506,0.061306532663316586,0.0864321608040201,0.06532663316582915,0.06030150753768844,0.012060301507537688
28.99	0.9590771469396386	0.006030150753768844,0.05628140703517588,0.07738693467336684,0.08743718592964825,0.07537688442211055,0.036180904522613064,0.0914572864321608,0.06432160804020101,0.05628140703517588,0.10854271356783919,0.034170854271356785,0.06834170854271357,0.09045226130653267,0.06633165829145729,0.06432160804020101,0.017085427135678392
28.99	0.959347550852313	0.011055276381909548,0.062311557788944726,0.07336683417085427,0.08542713567839195,0.07738693467336684,0.034170854271356785,0.0964824120603015,0.062311557788944726,0.062311557788944726,0.0964824120603015,0.03819095477386935,0.07236180904522613,0.0814070351758794,0.07738693467336684,0.062311557788944726,0.007035175879396985
28.99	0.9535434856671178	0.005025125628140704,0.05628140703517588,0.06934673366834171,0.09547738693467336,0.06633165829145729,0.0371859296482412,0.10050251256281408,0.06331658291457286,0.05628140703517588,0.10854271356783919,0.034170854271356785,0.06834170854271357,0.09849246231155778,0.06432160804020101,0.06331658291457286,0.01306532663316583
28.99	0.9553737680733648	0.010050251256281407,0.06633165829145729,0.06432160804020101,0.0864321608040201,0.06532663316582915,0.032160804020100506,0.11155778894472362,0.05829145728643216,0.06633165829145729,0.08442211055276382,0.033165829145728645,0.08341708542713568,0.0864321608040201,0.08442211055276382,0.0592964824120603,0.008040201005025126
28.99	0.9619821107281519	0.009045226130653266,0.061306532663316586,0.07537688442211055,0.0914572864321608,0.08040201005025126,0.03015075376884422,0.09045226130653267,0.06331658291457286,0.06030150753768844,0.10552763819095477,0.035175879396984924,0.062311557788944726,0.08542713567839195,0.06733668341708543,0.06331658291457286,0.019095477386934675
28.99	0.9578342435553039	0.006030150753768844,0.05025125628140704,0.06532663316582915,0.0914572864321608,0.062311557788944726,0.03919597989949749,0.10050251256281408,0.06633165829145729,0.04924623115577889,0.10653266331658291,0.0371859296482412,0.07537688442211055,0.09346733668341708,0.07336683417085427,0.06633165829145729,0.017085427135678392
28.99	0.952193625356782	0.010050251256281407,0.06432160804020101,0.06834170854271357,0.09949748743718594,0.07135678391959799,0.03015075376884422,0.09547738693467336,0.06532663316582915,0.06532663316582915,0.1035175879396985,0.033165829145728645,0.061306532663316586,0.09748743718592964,0.06331658291457286,0.06532663316582915,0.006030150753768844
28.99	0.9521061659230231	0.012060301507537688,0.061306532663316586,0.0814070351758794,0.08844221105527639,0.07939698492462312,0.03015075376884422,0.10150753768844221,0.05628140703517588,0.061306532663316586,0.10954773869346733,0.027135678391959798,0.06934673366834171,0.0914572864321608,0.06633165829145729,0.05628140703517588,0.008040201005025126
28.99	0.9617745832508535	0.01507537688442211,0.06532663316582915,0.06733668341708543,0.09346733668341708,0.07135678391959799,0.032160804020100506,0.09246231155778895,0.06733668341708543,0.06532663316582915,0.09447236180904522,0.036180904522613064,0.06633165829145729,0.08844221105527639,0.07035175879396985,0.06633165829145729,0.008040201005025126
28.99	0.9518292860405569	0.011055276381909548,0.05728643216080402,0.06532663316582915,0.09547738693467336,0.06934673366834171,0.024120603015075376,0.11055276381909548,0.06030150753768844,0.05728643216080402,0.10251256281407035,0.02814070351758794,0.07537688442211055,0.0914572864321608,0.07939698492462312,0.06030150753768844,0.012060301507537688
28.99	0.946491671558594	0.006030150753768844,0.05527638190954774,0.0763819095477387,0.09447236180904522,0.07035175879396985,0.034170854271356785,0.10954773869346733,0.05527638190954774,0.05527638190954774,0.11457286432160804,0.02814070351758794,0.07035175879396985,0.09949748743718594,0.06532663316582915,0.05527638190954774,0.010050251256281407
28.99	0.9535480812038077	0.008040201005025126,0.0592964824120603,0.07035175879396985,0.09447236180904522,0.07135678391959799,0.02613065326633166,0.09849246231155778,0.06633165829145729,0.0592964824120603,0.10552763819095477,0.027135678391959798,0.06934673366834171,0.09346733668341708,0.07035175879396985,0.06633165829145729,0.01407035175879397
28.99	0.9488984820467734	0.007035175879396985,0.05829145728643216,0.09045226130653267,0.0864321608040201,0.09045226130653267,0.034170854271356785,0.08542713567839195,0.061306532663316586,0.05829145728643216,0.11959798994974874,0.034170854271356785,0.06030150753768844,0.0864321608040201,0.06030150753768844,0.061306532663316586,0.006030150753768844
28.99	0.9544749298744383	0.01306532663316583,0.06331658291457286,0.06331658291457286,0.09346733668341708,0.06633165829145729,0.02814070351758794,0.11055276381909548,0.0592964824120603,0.06331658291457286,0.09346733668341708,0.031155778894472363,0.07738693467336684,0.08944723618090453,0.08040201005025126,0.0592964824120603,0.008040201005025126
28.99	0.9600661606412817	0.01507537688442211,0.05728643216080402,0.08040201005025126,0.08743718592964825,0.07939698492462312,0.036180904522613064,0.10251256281407035,0.05226130653266332,0.05728643216080402,0.11055276381909548,0.035175879396984924,0.06633165829145729,0.08944723618090453,0.06532663316582915,0.05226130653266332,0.01306532663316583
28.99	0.9591229593374935	0.009045226130653266,0.05226130653266332,0.05527638190954774,0.09346733668341708,0.06331658291457286,0.033165829145728645,0.11557788944723618,0.05728643216080402,0.053266331658291456,0.0964824120603015,0.04120603015075377,0.07939698492462312,0.08542713567839195,0.08743718592964825,0.05728643216080402,0.020100502512562814
28.99	0.9511779062975292	0.007035175879396985,0.05628140703517588,0.08040201005025126,0.09045226130653267,0.07939698492462312,0.03015075376884422,0.09045226130653267,0.06633165829145729,0.05628140703517588,0.11457286432160804,0.02914572864321608,0.06633165829145729,0.0914572864321608,0.06532663316582915,0.06633165829145729,0.010050251256281407
28.99	0.9482810783635811	0.007035175879396985,0.06834170854271357,0.07336683417085427,0.09246231155778895,0.07035175879396985,0.023115577889447236,0.0864321608040201,0.0763819095477387,0.06834170854271357,0.09748743718592964,0.020100502512562814,0.07035175879396985,0.09547738693467336,0.06633165829145729,0.07537688442211055,0.009045226130653266
28.99	0.9536265530408231	0.018090452261306532,0.0592964824120603,0.06633165829145729,0.09748743718592964,0.06733668341708543,0.03015075376884422,0.11658291457286432,0.05125628140703518,0.0592964824120603,0.10452261306532663,0.031155778894472363,0.07035175879396985,0.09748743718592964,0.07035175879396985,0.05125628140703518,0.009045226130653266
28.99	0.9544046132950199	0.005025125628140704,0.0592964824120603,0.07738693467336684,0.08341708542713568,0.07939698492462312,0.02914572864321608,0.09748743718592964,0.06331658291457286,0.0592964824120603,0.10150753768844221,0.031155778894472363,0.0763819095477387,0.08241206030150754,0.07839195979899498,0.06331658291457286,0.01306532663316583
28.99	0.9553393016703218	0.007035175879396985,0.0592964824120603,0.05829145728643216,0.09246231155778895,0.061306532663316586,0.034170854271356785,0.11457286432160804,0.05829145728643216,0.06030150753768844,0.0914572864321608,0.0371859296482412,0.08040201005025126,0.09045226130653267,0.08341708542713568,0.05829145728643216,0.01306532663316583
28.99	0.9532211230513028	0.01306532663316583,0.062311557788944726,0.07939698492462312,0.09447236180904522,0.0743718592964824,0.027135678391959798,0.09246231155778895,0.06432160804020101,0.062311557788944726,0.11155778894472362,0.022110552763819097,0.062311557788944726,0.09949748743718594,0.05728643216080402,0.06432160804020101,0.01306532663316583
28.99	0.9538462571374149	0.006030150753768844,0.061306532663316586,0.07839195979899498,0.08341708542713568,0.07738693467336684,0.036180904522613064,0.10452261306532663,0.05527638190954774,0.061306532663316586,0.10050251256281408,0.034170854271356785,0.07738693467336684,0.08442211055276382,0.07537688442211055,0.05527638190954774,0.009045226130653266
28.99	0.9569304092446106	0.012060301507537688,0.06532663316582915,0.07839195979899498,0.08241206030150754,0.0743718592964824,0.031155778894472363,0.09748743718592964,0.062311557788944726,0.06532663316582915,0.09547738693467336,0.027135678391959798,0.07839195979899498,0.08542713567839195,0.0743718592964824,0.062311557788944726,0.008040201005025126
28.99	0.9628010985958604	0.021105527638190954,0.0592964824120603,0.07939698492462312,0.0864321608040201,0.07236180904522613,0.04020100502512563,0.10552763819095477,0.05025125628140704,0.0592964824120603,0.10552763819095477,0.033165829145728645,0.06934673366834171,0.09346733668341708,0.062311557788944726,0.05025125628140704,0.012060301507537688
28.99	0.963338857188822	0.01306532663316583,0.061306532663316586,0.0814070351758794,0.08241206030150754,0.07939698492462312,0.04020100502512563,0.0864321608040201,0.06331658291457286,0.061306532663316586,0.1035175879396985,0.03819095477386935,0.06733668341708543,0.08442211055276382,0.06532663316582915,0.06331658291457286,0.009045226130653266
28.99	0.9529573473402063	0.016080402010050253,0.0743718592964824,0.07236180904522613,0.09949748743718594,0.06834170854271357,0.027135678391959798,0.09045226130653267,0.06733668341708543,0.0743718592964824,0.09748743718592964,0.023115577889447236,0.05728643216080402,0.1035175879396985,0.053266331658291456,0.06733668341708543,0.008040201005025126
28.99	0.9589784101804852	0.009045226130653266,0.053266331658291456,0.07336683417085427,0.08542713567839195,0.06532663316582915,0.03919597989949749,0.09045226130653267,0.07135678391959799,0.053266331658291456,0.10653266331658291,0.031155778894472363,0.07537688442211055,0.09447236180904522,0.06733668341708543,0.07135678391959799,0.01306532663316583
28.99	0.9656903330849808	0.016080402010050253,0.05125628140703518,0.06633165829145729,0.0864321608040201,0.07035175879396985,0.04321608040201005,0.10954773869346733,0.05226130653266332,0.05125628140703518,0.10050251256281408,0.04723618090452261,0.0763819095477387,0.0814070351758794,0.08040201005025126,0.05226130653266332,0.01507537688442211
28.99	0.9449087765135171	0.007035175879396985,0.0592964824120603,0.07336683417085427,0.10150753768844221,0.07939698492462312,0.02613065326633166,0.1035175879396985,0.05728643216080402,0.0592964824120603,0.11557788944723618,0.033165829145728645,0.0592964824120603,0.09547738693467336,0.06532663316582915,0.05728643216080402,0.007035175879396985
28.99	0.9577008332753151	0.008040201005025126,0.06432160804020101,0.06633165829145729,0.08241206030150754,0.07135678391959799,0.03015075376884422,0.09748743718592964,0.06834170854271357,0.06432160804020101,0.08442211055276382,0.035175879396984924,0.08442211055276382,0.07738693467336684,0.08844221105527639,0.06834170854271357,0.009045226130653266
28.99	0.9556089246361196	0.008040201005025126,0.06030150753768844,0.07035175879396985,0.09246231155778895,0.07135678391959799,0.02814070351758794,0.09949748743718594,0.06432160804020101,0.06030150753768844,0.10251256281407035,0.02914572864321608,0.07135678391959799,0.0914572864321608,0.07236180904522613,0.06432160804020101,0.01407035175879397
28.99	0.9619325969671204	0.009045226130653266,0.053266331658291456,0.0814070351758794,0.08040201005025126,0.07939698492462312,0.044221105527638194,0.09447236180904522,0.05728643216080402,0.053266331658291456,0.10854271356783919,0.04221105527638191,0.07236180904522613,0.08241206030150754,0.07035175879396985,0.05829145728643216,0.01306532663316583
28.99	0.9663363052273548	0.012060301507537688,0.05728643216080402,0.07035175879396985,0.0864321608040201,0.06834170854271357,0.03819095477386935,0.0964824120603015,0.06331658291457286,0.05728643216080402,0.09949748743718594,0.036180904522613064,0.07336683417085427,0.08844221105527639,0.07135678391959799,0.06331658291457286,0.018090452261306532
28.99	0.9540218485924407	0.008040201005025126,0.054271356783919596,0.08844221105527639,0.0864321608040201,0.08442211055276382,0.036180904522613064,0.08442211055276382,0.06432160804020101,0.054271356783919596,0.12060301507537688,0.032160804020100506,0.062311557788944726,0.08944723618090453,0.05829145728643216,0.06432160804020101,0.012060301507537688
28.99	0.9513491090361383	0.005025125628140704,0.06331658291457286,0.07035175879396985,0.09346733668341708,0.07236180904522613,0.02613065326633166,0.09748743718592964,0.06633165829145729,0.06331658291457286,0.10150753768844221,0.02814070351758794,0.07035175879396985,0.09246231155778895,0.07135678391959799,0.06633165829145729,0.012060301507537688
28.99	0.9457061535934632	0.005025125628140704,0.05728643216080402,0.054271356783919596,0.10552763819095477,0.062311557788944726,0.019095477386934675,0.11055276381909548,0.06633165829145729,0.05728643216080402,0.10251256281407035,0.027135678391959798,0.07135678391959799,0.09748743718592964,0.07939698492462312,0.06633165829145729,0.018090452261306532
28.99	0.9506800649382056	0.022110552763819097,0.07035175879396985,0.07135678391959799,0.09849246231155778,0.06733668341708543,0.027135678391959798,0.10050251256281408,0.061306532663316586,0.07035175879396985,0.09949748743718594,0.023115577889447236,0.06331658291457286,0.10150753768844221,0.0592964824120603,0.061306532663316586,0.003015075376884422
28.99	0.9571096945056313	0.012060301507537688,0.054271356783919596,0.08341708542713568,0.08442211055276382,0.07839195979899498,0.035175879396984924,0.10150753768844221,0.05527638190954774,0.053266331658291456,0.1135678391959799,0.03015075376884422,0.07236180904522613,0.08844221105527639,0.06834170854271357,0.05527638190954774,0.01407035175879397
28.99	0.9609759665170129	0.010050251256281407,0.06030150753768844,0.062311557788944726,0.09246231155778895,0.06934673366834171,0.034170854271356785,0.10653266331658291,0.0592964824120603,0.06030150753768844,0.09447236180904522,0.04120603015075377,0.07236180904522613,0.08542713567839195,0.07939698492462312,0.0592964824120603,0.01306532663316583
28.99	0.9510087793652362	0.010050251256281407,0.06733668341708543,0.07035175879396985,0.09447236180904522,0.06733668341708543,0.02814070351758794,0.10452261306532663,0.061306532663316586,0.06733668341708543,0.09748743718592964,0.02512562814070352,0.07135678391959799,0.09748743718592964,0.06834170854271357,0.061306532663316586,0.008040201005025126
28.99	0.9488282731155816	0.011055276381909548,0.06030150753768844,0.06733668341708543,0.09949748743718594,0.06733668341708543,0.031155778894472363,0.1135678391959799,0.054271356783919596,0.06030150753768844,0.10653266331658291,0.031155778894472363,0.06834170854271357,0.09949748743718594,0.06834170854271357,0.054271356783919596,0.007035175879396985
28.99	0.9557896325479005	0.01507537688442211,0.061306532663316586,0.06030150753768844,0.0964824120603015,0.062311557788944726,0.031155778894472363,0.1135678391959799,0.05728643216080402,0.061306532663316586,0.0964824120603015,0.033165829145728645,0.0743718592964824,0.09447236180904522,0.0763819095477387,0.05728643216080402,0.009045226130653266
