ρ	Permutation_Entropy	Pattern_Probabilities
28.99	0.9577120042539633	0.01507537688442211,0.053266331658291456,0.07738693467336684,0.08542713567839195,0.08341708542713568,0.035175879396984924,0.10854271356783919,0.04924623115577889,0.053266331658291456,0.10954773869346733,0.04120603015075377,0.07135678391959799,0.08040201005025126,0.07738693467336684,0.04924623115577889,0.010050251256281407
28.99	0.95481883385806	0.008040201005025126,0.05527638190954774,0.06733668341708543,0.08542713567839195,0.06834170854271357,0.0371859296482412,0.10954773869346733,0.0592964824120603,0.05527638190954774,0.09748743718592964,0.03819095477386935,0.08341708542713568,0.08341708542713568,0.08442211055276382,0.0592964824120603,0.008040201005025126
28.99	0.9606750527711843	0.007035175879396985,0.06532663316582915,0.0592964824120603,0.08944723618090453,0.06331658291457286,0.035175879396984924,0.10251256281407035,0.06532663316582915,0.06532663316582915,0.08341708542713568,0.03919597989949749,0.07839195979899498,0.08442211055276382,0.08341708542713568,0.06532663316582915,0.01306532663316583
28.99	0.9527115611512814	0.008040201005025126,0.06633165829145729,0.0743718592964824,0.0914572864321608,0.07236180904522613,0.02914572864321608,0.09447236180904522,0.06633165829145729,0.06633165829145729,0.09949748743718594,0.027135678391959798,0.06934673366834171,0.09246231155778895,0.06834170854271357,0.06633165829145729,0.008040201005025126
28.99	0.9574124564294254	0.01407035175879397,0.06030150753768844,0.06834170854271357,0.09246231155778895,0.05728643216080402,0.033165829145728645,0.1035175879396985,0.06432160804020101,0.06030150753768844,0.10050251256281408,0.022110552763819097,0.07537688442211055,0.1035175879396985,0.06432160804020101,0.06432160804020101,0.016080402010050253
28.99	0.945243327367013	0.011055276381909548,0.06331658291457286,0.05628140703517588,0.1035175879396985,0.05628140703517588,0.021105527638190954,0.11055276381909548,0.06733668341708543,0.06331658291457286,0.0964824120603015,0.021105527638190954,0.0743718592964824,0.1035175879396985,0.0743718592964824,0.06733668341708543,0.010050251256281407
28.99	0.9586299985349408	0.01507537688442211,0.06432160804020101,0.08040201005025126,0.08743718592964825,0.08040201005025126,0.032160804020100506,0.09949748743718594,0.05527638190954774,0.06432160804020101,0.10251256281407035,0.032160804020100506,0.06733668341708543,0.08743718592964825,0.06733668341708543,0.05527638190954774,0.009045226130653266
28.99	0.9528068534368209	0.004020100502512563,0.053266331658291456,0.061306532663316586,0.0964824120603015,0.05829145728643216,0.033165829145728645,0.10452261306532663,0.06733668341708543,0.053266331658291456,0.1035175879396985,0.03015075376884422,0.0763819095477387,0.09849246231155778,0.07336683417085427,0.06733668341708543,0.019095477386934675
28.99	0.9600709117195463	0.011055276381909548,0.06331658291457286,0.07135678391959799,0.09246231155778895,0.06934673366834171,0.034170854271356785,0.0914572864321608,0.06633165829145729,0.06331658291457286,0.10150753768844221,0.032160804020100506,0.06532663316582915,0.09547738693467336,0.06331658291457286,0.06733668341708543,0.012060301507537688
28.99	0.9448489762255848	0.008040201005025126,0.0592964824120603,0.0814070351758794,0.08542713567839195,0.07839195979899498,0.02814070351758794,0.10552763819095477,0.05728643216080402,0.0592964824120603,0.10753768844221105,0.02613065326633166,0.07738693467336684,0.08844221105527639,0.07537688442211055,0.05829145728643216,0.004020100502512563
